season,avg_non_missing_rate,family
2023,0.9938271604938274,boxscore
2024,1.0,boxscore
2025,1.0,boxscore
2026,0.9649910233393176,boxscore
2023,0.9938271604938271,diff_features
2024,1.0,diff_features
2025,1.0,diff_features
2026,1.0,diff_features
2023,0.9562757201646089,elo
2024,0.9859053497942387,elo
2025,0.9901234567901234,elo
2026,0.9578096947935368,elo
2023,0.9938271604938272,odds_market
2024,1.0,odds_market
2025,1.0,odds_market
2026,1.0,odds_market
2023,0.9945130315500685,other
2024,1.0,other
2025,1.0,other
2026,1.0,other
2023,0.9056577266922095,pitchmix
2024,0.9198453242514545,pitchmix
2025,0.9239860933730666,pitchmix
2026,0.8793351080294683,pitchmix
2023,0.9307388232517663,starter
2024,0.9754841659660458,starter
2025,0.9807277608153753,starter
2026,0.9381157377914197,starter
2023,0.9938271604938275,statcast
2024,0.9995884773662556,statcast
2025,1.0,statcast
2026,0.9587073608617591,statcast
2023,0.9938271604938271,team_form
2024,1.0,team_form
2025,1.0,team_form
2026,0.9749935880995126,team_form
