column,reason
game_pk,numeric_id
home_team_id,numeric_id
away_team_id,numeric_id
home_score,leaky_or_target
away_score,leaky_or_target
home_probable_pitcher_id,numeric_id
away_probable_pitcher_id,numeric_id
target_home_win,leaky_or_target
target_total_runs,leaky_or_target
target_home_margin,leaky_or_target
home_win,leaky_or_target
away_win,leaky_or_target
home_run_diff,leaky_or_target
away_run_diff,leaky_or_target
home_box_box_box_pitch_saveOpportunities_season_to_date,constant
home_box_box_box_pitch_saveOpportunities_last3,constant
home_box_box_box_pitch_saveOpportunities_last5,constant
home_box_box_box_pitch_saveOpportunities_last10,constant
home_box_box_box_pitch_saveOpportunities_last20,constant
home_box_box_box_pitch_completeGames_season_to_date,constant
home_box_box_box_pitch_completeGames_last3,constant
home_box_box_box_pitch_completeGames_last5,constant
home_box_box_box_pitch_completeGames_last10,constant
home_box_box_box_pitch_completeGames_last20,constant
home_box_box_box_pitch_inheritedRunners_season_to_date,constant
home_box_box_box_pitch_inheritedRunners_last3,constant
home_box_box_box_pitch_inheritedRunners_last5,constant
home_box_box_box_pitch_inheritedRunners_last10,constant
home_box_box_box_pitch_inheritedRunners_last20,constant
home_box_box_box_pitch_inheritedRunnersScored_season_to_date,constant
home_box_box_box_pitch_inheritedRunnersScored_last3,constant
home_box_box_box_pitch_inheritedRunnersScored_last5,constant
home_box_box_box_pitch_inheritedRunnersScored_last10,constant
home_box_box_box_pitch_inheritedRunnersScored_last20,constant
home_box_box_box_pitch_passedBall_season_to_date,constant
home_box_box_box_pitch_passedBall_last3,constant
home_box_box_box_pitch_passedBall_last5,constant
home_box_box_box_pitch_passedBall_last10,constant
home_box_box_box_pitch_passedBall_last20,constant
away_box_box_box_pitch_saveOpportunities_season_to_date,constant
away_box_box_box_pitch_saveOpportunities_last3,constant
away_box_box_box_pitch_saveOpportunities_last5,constant
away_box_box_box_pitch_saveOpportunities_last10,constant
away_box_box_box_pitch_saveOpportunities_last20,constant
away_box_box_box_pitch_completeGames_season_to_date,constant
away_box_box_box_pitch_completeGames_last3,constant
away_box_box_box_pitch_completeGames_last5,constant
away_box_box_box_pitch_completeGames_last10,constant
away_box_box_box_pitch_completeGames_last20,constant
away_box_box_box_pitch_inheritedRunners_season_to_date,constant
away_box_box_box_pitch_inheritedRunners_last3,constant
away_box_box_box_pitch_inheritedRunners_last5,constant
away_box_box_box_pitch_inheritedRunners_last10,constant
away_box_box_box_pitch_inheritedRunners_last20,constant
away_box_box_box_pitch_inheritedRunnersScored_season_to_date,constant
away_box_box_box_pitch_inheritedRunnersScored_last3,constant
away_box_box_box_pitch_inheritedRunnersScored_last5,constant
away_box_box_box_pitch_inheritedRunnersScored_last10,constant
away_box_box_box_pitch_inheritedRunnersScored_last20,constant
away_box_box_box_pitch_passedBall_season_to_date,constant
away_box_box_box_pitch_passedBall_last3,constant
away_box_box_box_pitch_passedBall_last5,constant
away_box_box_box_pitch_passedBall_last10,constant
away_box_box_box_pitch_passedBall_last20,constant
diff_box_box_box_pitch_saveOpportunities_season_to_date,constant
diff_box_box_box_pitch_saveOpportunities_last3,constant
diff_box_box_box_pitch_saveOpportunities_last5,constant
diff_box_box_box_pitch_saveOpportunities_last10,constant
diff_box_box_box_pitch_saveOpportunities_last20,constant
diff_box_box_box_pitch_completeGames_season_to_date,constant
diff_box_box_box_pitch_completeGames_last3,constant
diff_box_box_box_pitch_completeGames_last5,constant
diff_box_box_box_pitch_completeGames_last10,constant
diff_box_box_box_pitch_completeGames_last20,constant
diff_box_box_box_pitch_inheritedRunners_season_to_date,constant
diff_box_box_box_pitch_inheritedRunners_last3,constant
diff_box_box_box_pitch_inheritedRunners_last5,constant
diff_box_box_box_pitch_inheritedRunners_last10,constant
diff_box_box_box_pitch_inheritedRunners_last20,constant
diff_box_box_box_pitch_inheritedRunnersScored_season_to_date,constant
diff_box_box_box_pitch_inheritedRunnersScored_last3,constant
diff_box_box_box_pitch_inheritedRunnersScored_last5,constant
diff_box_box_box_pitch_inheritedRunnersScored_last10,constant
diff_box_box_box_pitch_inheritedRunnersScored_last20,constant
diff_box_box_box_pitch_passedBall_season_to_date,constant
diff_box_box_box_pitch_passedBall_last3,constant
diff_box_box_box_pitch_passedBall_last5,constant
diff_box_box_box_pitch_passedBall_last10,constant
diff_box_box_box_pitch_passedBall_last20,constant
home_team_pitchmix_team_pitchmix_pt_avg_ev_other_last3,missing_gt_0.9
home_team_pitchmix_team_pitchmix_pt_hard_hit_rate_other_last3,missing_gt_0.9
away_team_pitchmix_team_pitchmix_pt_avg_ev_other_last3,missing_gt_0.9
away_team_pitchmix_team_pitchmix_pt_hard_hit_rate_other_last3,missing_gt_0.9
diff_team_pitchmix_team_pitchmix_pt_avg_ev_other_last3,missing_gt_0.9
diff_team_pitchmix_team_pitchmix_pt_avg_ev_other_last5,missing_gt_0.9
diff_team_pitchmix_team_pitchmix_pt_avg_ev_other_last10,missing_gt_0.9
diff_team_pitchmix_team_pitchmix_pt_hard_hit_rate_other_last3,missing_gt_0.9
diff_team_pitchmix_team_pitchmix_pt_hard_hit_rate_other_last5,missing_gt_0.9
diff_team_pitchmix_team_pitchmix_pt_hard_hit_rate_other_last10,missing_gt_0.9
