feature_1,feature_2,abs_corr,family
home_box_box_box_pitch_hitByPitch_last10,home_box_box_box_pitch_hitBatsmen_last10,1.0,boxscore
home_box_box_box_pitch_hitByPitch_last3,home_box_box_box_pitch_hitBatsmen_last3,1.0,boxscore
home_box_box_box_pitch_hitByPitch_last5,home_box_box_box_pitch_hitBatsmen_last5,1.0,boxscore
home_box_box_box_pitch_hitByPitch_season_to_date,home_box_box_box_pitch_hitBatsmen_season_to_date,1.0,boxscore
home_box_box_box_pitch_hitByPitch_last20,home_box_box_box_pitch_hitBatsmen_last20,1.0,boxscore
home_box_box_runs_against_last3,home_box_box_box_pitch_runs_last3,0.9999871795176493,boxscore
home_box_box_runs_for_season_to_date,home_box_box_box_bat_runs_season_to_date,0.9999863624861984,boxscore
home_box_box_runs_against_season_to_date,home_box_box_box_pitch_runs_season_to_date,0.9999851749627899,boxscore
home_box_box_runs_for_last20,home_box_box_box_bat_runs_last20,0.9999351064267017,boxscore
home_box_box_runs_for_last5,home_box_box_box_bat_runs_last5,0.9999235419740065,boxscore
home_box_box_runs_against_last5,home_box_box_box_pitch_runs_last5,0.9999151279355091,boxscore
home_box_box_runs_against_last20,home_box_box_box_pitch_runs_last20,0.999910980238796,boxscore
home_box_box_runs_for_last10,home_box_box_box_bat_runs_last10,0.9999086510194829,boxscore
home_box_box_runs_against_last10,home_box_box_box_pitch_runs_last10,0.9999009620499444,boxscore
home_box_box_runs_for_last3,home_box_box_box_bat_runs_last3,0.9997948756634782,boxscore
home_box_box_box_pitch_numberOfPitches_season_to_date,home_box_box_box_pitch_pitchesThrown_season_to_date,0.999734713320141,boxscore
home_box_box_box_pitch_inningsPitched_last3,home_box_box_box_pitch_outs_last3,0.9991819928199039,boxscore
home_box_box_box_pitch_inningsPitched_last5,home_box_box_box_pitch_outs_last5,0.999094120720545,boxscore
home_box_box_box_pitch_numberOfPitches_last3,home_box_box_box_pitch_pitchesThrown_last3,0.9989393156307779,boxscore
home_box_box_box_pitch_inningsPitched_last10,home_box_box_box_pitch_outs_last10,0.9984785645843662,boxscore
home_box_box_box_pitch_numberOfPitches_last5,home_box_box_box_pitch_pitchesThrown_last5,0.9983215491823285,boxscore
home_box_box_box_pitch_numberOfPitches_last20,home_box_box_box_pitch_pitchesThrown_last20,0.9979056715879799,boxscore
home_box_box_box_pitch_numberOfPitches_last10,home_box_box_box_pitch_pitchesThrown_last10,0.9978340390527055,boxscore
home_box_box_box_pitch_inningsPitched_last20,home_box_box_box_pitch_outs_last20,0.9977384563623831,boxscore
home_box_box_box_pitch_inningsPitched_season_to_date,home_box_box_box_pitch_outs_season_to_date,0.9950620099692441,boxscore
home_box_box_box_bat_runs_season_to_date,home_box_box_box_bat_rbi_season_to_date,0.9948403052004353,boxscore
home_box_box_runs_for_season_to_date,home_box_box_box_bat_rbi_season_to_date,0.9947723120265095,boxscore
home_box_box_box_pitch_runs_season_to_date,home_box_box_box_pitch_rbi_season_to_date,0.9932603823725913,boxscore
home_box_box_runs_against_season_to_date,home_box_box_box_pitch_rbi_season_to_date,0.993227800756999,boxscore
home_box_box_box_pitch_whip_last3,home_box_box_box_pitch_whip_last5,0.9912596650000157,boxscore
home_box_box_box_pitch_runs_last20,home_box_box_box_pitch_rbi_last20,0.990708573029051,boxscore
home_box_box_box_bat_avg_last3,home_box_box_box_bat_avg_last5,0.9906228591329808,boxscore
home_box_box_runs_against_last20,home_box_box_box_pitch_rbi_last20,0.9905179769332256,boxscore
home_box_box_box_pitch_era_last3,home_box_box_box_pitch_era_last5,0.9899712035756553,boxscore
