feature,family,target,n,n_unique,corr_with_target,abs_corr,mae_if_used_directly,exact_match_rate
away_team_cluster_recent,other,target_home_margin,8357,2,-0.0957783233109725,0.0957783233109725,3.5607275338039965,0.11319851621395237
home_team_cluster_recent,other,target_home_margin,8357,2,0.11534165343319472,0.11534165343319472,3.4827091061385667,0.11164293406724901
robust_elo_favorite_is_home,elo,target_home_margin,8357,2,0.12097122902891214,0.12097122902891214,3.477444058872801,0.10625822663635276
away_team_pitchmix_team_pitchmix_pt_pitches_other_last3,pitchmix,target_home_margin,4499,79,0.011064097513173802,0.011064097513173802,5.133807512780618,0.10002222716159147
same_team_cluster_recent,other,target_home_margin,8357,2,0.003767912264795692,0.003767912264795692,3.531051812851502,0.08914682302261577
home_team_pitchmix_team_pitchmix_pt_pitches_other_last3,pitchmix,target_home_margin,4659,82,-0.017050489988214453,0.017050489988214453,5.152500536595836,0.08907490877870788
away_team_pitchmix_team_pitchmix_pt_pitches_other_last5,pitchmix,target_home_margin,5956,118,-0.0004543819403083332,0.0004543819403083332,5.159696104768301,0.08462055070517126
home_team_pitchmix_team_pitchmix_pt_pitches_other_last5,pitchmix,target_home_margin,6148,124,-0.014126701659550874,0.014126701659550874,5.067650726523531,0.08018867924528301
diff_box_box_box_pitch_outs_last3,boxscore,target_home_margin,8342,54,0.030192831148476797,0.030192831148476797,3.688723727323583,0.0739630783984656
away_team_pitchmix_team_pitchmix_pt_pitches_other_last10,pitchmix,target_home_margin,7578,187,-0.010110419246871978,0.010110419246871978,5.005564667144239,0.05740300870942201
home_team_pitchmix_team_pitchmix_pt_pitches_other_last10,pitchmix,target_home_margin,7677,194,-0.006573254203717837,0.006573254203717837,5.058254402451354,0.05575094437931483
home_box_box_box_bat_homeRuns_last3,boxscore,target_home_margin,8342,20,0.039908857084217104,0.039908857084217104,3.601794134100535,0.04255574202829058
away_box_box_box_bat_homeRuns_last3,boxscore,target_home_margin,8342,16,-0.025657736335990677,0.025657736335990677,3.6330416366978344,0.04207624070966195
diff_team_pitchmix_team_pitchmix_pt_pitches_other_last3,pitchmix,target_home_margin,2574,161,-0.021732076968775927,0.021732076968775927,5.3098938098938095,0.04195804195804196
away_box_box_box_pitch_doubles_last3,boxscore,target_home_margin,8342,21,-0.0015865010259704924,0.0015865010259704924,3.733716934388237,0.04099736274274754
home_box_box_box_pitch_homeRuns_last3,boxscore,target_home_margin,8342,18,0.00041621094050981865,0.00041621094050981865,3.6174578438424043,0.040877487413090385
away_box_box_box_pitch_homeRuns_last3,boxscore,target_home_margin,8342,17,0.022608871064381447,0.022608871064381447,3.6199752257652045,0.03967873411651882
home_box_box_box_pitch_doubles_last3,boxscore,target_home_margin,8342,21,-0.02302342103394481,0.02302342103394481,3.7581515224166866,0.03943898345720451
away_box_box_box_bat_doubles_last3,boxscore,target_home_margin,8342,22,-0.007312352722105943,0.007312352722105943,3.753915927435467,0.03931910812754735
home_box_box_box_pitch_popOuts_last3,boxscore,target_home_margin,8342,19,0.006939224441510089,0.006939224441510089,3.7928554303524336,0.03907935746823304
diff_starter_box_last_outing_ip,starter,target_home_margin,7734,108,0.036736141458451804,0.036736141458451804,3.7724765106456344,0.03904835790018102
home_box_box_box_bat_doubles_last3,boxscore,target_home_margin,8342,20,0.007831103950088287,0.007831103950088287,3.717294014225206,0.038959482138575884
