feature,family,target,n,n_unique,corr_with_target,abs_corr,mae_if_used_directly,exact_match_rate
robust_elo_favorite_is_home,elo,target_home_win,8357,2,0.10206395731032526,0.10206395731032526,0.4436998923058514,0.5563001076941486
home_team_cluster_recent,other,target_home_win,8357,2,0.08824085983483428,0.08824085983483428,0.4489649395716166,0.5510350604283833
same_team_cluster_recent,other,target_home_win,8357,2,0.001832850586735371,0.001832850586735371,0.4973076462845519,0.5026923537154482
away_team_cluster_recent,other,target_home_win,8357,2,-0.07753971632048798,0.07753971632048798,0.5269833672370468,0.4730166327629532
home_box_box_box_bat_groundIntoTriplePlay_last3,boxscore,target_home_win,8342,2,0.009712305014454001,0.009712305014454001,0.5285702869016223,0.47122992088228244
away_box_box_box_bat_groundIntoTriplePlay_last3,boxscore,target_home_win,8342,2,-0.0008887995461077008,0.0008887995461077008,0.5286502037880604,0.47122992088228244
diff_box_box_box_bat_groundIntoTriplePlay_last3,boxscore,target_home_win,8342,3,0.008441586830285886,0.008441586830285886,0.5286502037880604,0.47111004555262526
away_box_box_box_bat_groundIntoTriplePlay_last5,boxscore,target_home_win,8342,2,-0.012226511240778976,0.012226511240778976,0.5286981539199233,0.47099017022296813
home_box_box_box_bat_groundIntoTriplePlay_last5,boxscore,target_home_win,8342,2,-0.0015398152761472265,0.0015398152761472265,0.5286502037880604,0.47099017022296813
home_box_box_box_bat_groundIntoTriplePlay_last10,boxscore,target_home_win,8342,2,0.007840825301339449,0.007840825301339449,0.5286142411891632,0.47087029489331095
home_box_box_box_bat_groundIntoTriplePlay_last20,boxscore,target_home_win,8342,2,0.01868215965756474,0.01868215965756474,0.5285962598897147,0.47063054423399664
diff_box_box_box_bat_groundIntoTriplePlay_last5,boxscore,target_home_win,8342,3,0.006538720523497633,0.006538720523497633,0.5287461040517861,0.47063054423399664
away_box_box_box_bat_groundIntoTriplePlay_last10,boxscore,target_home_win,8342,2,-0.027489183676353147,0.027489183676353147,0.5287341165188204,0.47039079357468233
diff_box_box_box_bat_groundIntoTriplePlay_last10,boxscore,target_home_win,8342,3,0.024241722054777922,0.024241722054777922,0.5287221289858548,0.4699112922560537
away_box_box_box_bat_groundIntoTriplePlay_last20,boxscore,target_home_win,8342,2,-0.01533636801042833,0.01533636801042833,0.5286801726204747,0.4699112922560537
diff_box_box_box_bat_groundIntoTriplePlay_last20,boxscore,target_home_win,8342,3,0.024077424226868403,0.024077424226868403,0.528710141452889,0.4691920402781108
home_box_box_box_bat_groundIntoTriplePlay_season_to_date,boxscore,target_home_win,8342,180,0.009417273319911901,0.009417273319911901,0.528642906599578,0.4591225125869096
away_box_box_box_bat_groundIntoTriplePlay_season_to_date,boxscore,target_home_win,8342,182,-0.017242847246651948,0.017242847246651948,0.5286531401650366,0.45660513066410935
away_team_pitchmix_team_pitchmix_pt_whiff_rate_other_last3,pitchmix,target_home_win,4499,66,0.009241541085374828,0.009241541085374828,0.5279024922239813,0.44943320737941767
home_box_box_box_pitch_catchersInterference_last3,boxscore,target_home_win,8342,5,-0.007165248480157235,0.007165248480157235,0.5281906816910413,0.4465356029729082
away_box_box_box_pitch_catchersInterference_last3,boxscore,target_home_win,8342,6,0.018913651887500976,0.018913651887500976,0.5257532166546792,0.44569647566530807
away_box_box_box_bat_catchersInterference_last3,boxscore,target_home_win,8342,5,-0.023264714013370963,0.023264714013370963,0.5294693518740511,0.4450970990170223
diff_box_box_box_bat_groundIntoTriplePlay_season_to_date,boxscore,target_home_win,8342,355,0.01876263767423458,0.01876263767423458,0.5287070678276898,0.44461759769839365
away_team_pitchmix_team_pitchmix_pt_whiff_rate_other_last5,pitchmix,target_home_win,5956,93,0.005290973339779799,0.005290973339779799,0.5291658614440923,0.4435862995298858
home_box_box_box_bat_catchersInterference_last3,boxscore,target_home_win,8342,6,-0.005455717276096929,0.005455717276096929,0.527910972588508,0.442579717094222
home_team_pitchmix_team_pitchmix_pt_whiff_rate_other_last5,pitchmix,target_home_win,6148,100,0.01668684807221283,0.01668684807221283,0.5304893692993565,0.4420949902407287
