feature,family,target,n,n_unique,corr_with_target,abs_corr,mae_if_used_directly,exact_match_rate
away_starter_box_last_outing_ip,starter,target_total_runs,7995,27,-0.0057920832144244,0.0057920832144244,4.556264331874087,0.05540963101938712
home_box_box_box_pitch_inningsPitched_last3,boxscore,target_total_runs,8342,51,-0.029392317089803836,0.029392317089803836,3.58229840965396,0.05322464636777751
home_starter_box_last_outing_ip,starter,target_total_runs,8006,27,-0.024911748286175484,0.024911748286175484,4.606545091181614,0.051336497626779914
away_box_box_box_pitch_inningsPitched_last3,boxscore,target_total_runs,8342,59,0.017291181063629542,0.017291181063629542,3.5586869655558218,0.03524334691920403
home_team_pitchmix_team_pitchmix_pt_pitches_other_last3,pitchmix,target_total_runs,4659,82,-0.01684179897884297,0.01684179897884297,6.998104028046076,0.034342133505044004
away_team_pitchmix_team_pitchmix_pt_pitches_other_last3,pitchmix,target_total_runs,4499,79,0.015690065444067636,0.015690065444067636,6.973327406090242,0.034007557234941095
home_box_box_box_pitch_groundOuts_last3,boxscore,target_total_runs,8342,41,0.01113957959942507,0.01113957959942507,3.758091584751858,0.030927835051546393
away_box_box_box_bat_strikeOuts_last3,boxscore,target_total_runs,8342,51,-0.009766126578099957,0.009766126578099957,3.8676975945017182,0.030088707743946296
home_box_box_box_pitch_strikeOuts_last3,boxscore,target_total_runs,8342,52,-0.03689256650924208,0.03689256650924208,3.88911532006713,0.029729081754974827
home_box_box_box_pitch_inningsPitched_last5,boxscore,target_total_runs,8342,83,-0.027919415656388405,0.027919415656388405,3.5728678174698314,0.029369455766003357
away_box_box_box_pitch_groundOuts_last3,boxscore,target_total_runs,8342,42,0.007668214329051706,0.007668214329051706,3.7664229201630306,0.029009829777031888
away_box_box_box_bat_hits_last3,boxscore,target_total_runs,8342,53,0.024301055126643527,0.024301055126643527,3.8565292096219927,0.02888995444737473
away_box_box_box_pitch_strikeOuts_last3,boxscore,target_total_runs,8342,45,-0.0061143156521825046,0.0061143156521825046,3.8345121074082953,0.02853032845840326
home_box_box_box_bat_airOuts_last3,boxscore,target_total_runs,8342,40,-0.004291422489024496,0.004291422489024496,3.819028210660913,0.02853032845840326
home_team_pitchmix_team_pitchmix_pt_pitches_other_last5,pitchmix,target_total_runs,6148,124,-0.016343343872512708,0.016343343872512708,6.8309883973107794,0.02830188679245283
home_box_box_box_bat_hits_last3,boxscore,target_total_runs,8342,53,0.026328970638721153,0.026328970638721153,3.8565092304003836,0.02829057779908895
away_box_box_box_pitch_hits_last3,boxscore,target_total_runs,8342,52,0.012553955438494881,0.012553955438494881,3.866099256772956,0.02829057779908895
home_box_box_box_pitch_hits_last3,boxscore,target_total_runs,8342,54,0.04056671850539921,0.04056671850539921,3.850255734036602,0.02817070246943179
away_team_pitchmix_team_pitchmix_pt_pitches_other_last5,pitchmix,target_total_runs,5956,118,0.0030744931539175772,0.0030744931539175772,6.897943250503694,0.027703156480859636
away_box_box_box_pitch_flyOuts_last3,boxscore,target_total_runs,8342,35,0.016632945817847352,0.016632945817847352,4.7300607368336935,0.027691201150803164
home_box_box_box_pitch_airOuts_last3,boxscore,target_total_runs,8342,46,0.004827066440833259,0.004827066440833259,3.818009270358827,0.02757132582114601
away_box_box_box_bat_groundOuts_last3,boxscore,target_total_runs,8342,42,-0.0007781150846189491,0.0007781150846189491,3.7915767601694235,0.02757132582114601
home_box_box_box_bat_groundOuts_last3,boxscore,target_total_runs,8342,41,0.0016623226146616622,0.0016623226146616622,3.772896187964517,0.02721169983217454
away_box_box_box_pitch_airOuts_last3,boxscore,target_total_runs,8342,40,0.004391688219499737,0.004391688219499737,3.8016862463038437,0.02685207384320307
home_box_box_box_bat_strikeOuts_last3,boxscore,target_total_runs,8342,45,-0.006673765053246062,0.006673765053246062,3.841504834971629,0.026372572524574443
away_box_box_box_bat_airOuts_last3,boxscore,target_total_runs,8342,45,0.010828923067625371,0.010828923067625371,3.81449292735555,0.026012946535602974
away_box_box_box_bat_flyOuts_last3,boxscore,target_total_runs,8342,34,0.006052045014809652,0.006052045014809652,4.682869815391992,0.025533445216974347
away_box_box_box_pitch_inningsPitched_last5,boxscore,target_total_runs,8342,79,0.02623559631000087,0.02623559631000087,3.557360744825382,0.025293694557660035
home_box_box_box_bat_flyOuts_last3,boxscore,target_total_runs,8342,33,0.008617407586946926,0.008617407586946926,4.739730680092703,0.023735315272117
away_box_box_box_pitch_runs_last3,boxscore,target_total_runs,8342,46,0.016487620760296348,0.016487620760296348,5.180791976344602,0.02361543994245984
away_team_team_runs_against_last3,team_form,target_total_runs,8342,46,0.016477484633638025,0.016477484633638025,5.1802924958043635,0.02361543994245984
away_box_box_runs_against_last3,boxscore,target_total_runs,8342,46,0.016477484633638025,0.016477484633638025,5.1802924958043635,0.02361543994245984
home_team_pitchmix_team_pitchmix_pt_pitches_other_last10,pitchmix,target_total_runs,7677,194,-0.00845679906282672,0.00845679906282672,6.608182759882642,0.022274325908558032
home_box_box_box_pitch_flyOuts_last3,boxscore,target_total_runs,8342,34,0.011076936136929352,0.011076936136929352,4.682190521857269,0.02193718532725965
