model_name,feature_set,estimator,feature_count,mae,rmse,r2,avg_pred,actual_mean,n
accuracy_core_no_box__random_forest,accuracy_core_no_box,random_forest,949,3.5391936583693555,4.481195350197403,0.026442335251468663,0.005828593521456363,0.03827751196172249,1672
full_non_market__random_forest,full_non_market,random_forest,1987,3.5405775261646166,4.48183958243023,0.02616239105660234,0.003840628280604997,0.03827751196172249,1672
starter_plus_team__random_forest,starter_plus_team,random_forest,422,3.542579811634192,4.487038823306368,0.023901643857240695,-0.0031721583691912353,0.03827751196172249,1672
all_clean__random_forest,all_clean,random_forest,2032,3.5442591143017377,4.484685025185656,0.024925453076930948,-0.005110416704691651,0.03827751196172249,1672
accuracy_core_no_box__xgboost_squarederror,accuracy_core_no_box,xgboost_squarederror,949,3.545031000916189,4.507943785175419,0.014785238352764796,0.06659197940928532,0.03827751196172249,1672
starter_plus_team__hist_gbdt_squared_error,starter_plus_team,hist_gbdt_squared_error,422,3.5455775106602774,4.504524238361023,0.016279360892902828,0.025673257895460135,0.03827751196172249,1672
accuracy_core_no_box__extra_trees,accuracy_core_no_box,extra_trees,949,3.545751400181488,4.48481310134616,0.02486975882561815,0.003148989958857393,0.03827751196172249,1672
starter_plus_team__extra_trees,starter_plus_team,extra_trees,422,3.5468184706440367,4.489263218151054,0.022933626232795157,-0.006029534460210291,0.03827751196172249,1672
all_clean__xgboost_squarederror,all_clean,xgboost_squarederror,2032,3.547507503089955,4.51045966923119,0.013685234490239506,0.05239728095657309,0.03827751196172249,1672
accuracy_core_no_box__hist_gbdt_squared_error,accuracy_core_no_box,hist_gbdt_squared_error,949,3.5480583223124036,4.505659530541677,0.015783436783106786,0.0466269795578586,0.03827751196172249,1672
statcast_team_plus_pitchmix__random_forest,statcast_team_plus_pitchmix,random_forest,658,3.5497625830193686,4.494675232838219,0.02057640870700772,0.01468276218656968,0.03827751196172249,1672
full_non_market__extra_trees,full_non_market,extra_trees,1987,3.552393095478934,4.488466443767776,0.023280423617401347,-0.0006259386882480252,0.03827751196172249,1672
all_clean__extra_trees,all_clean,extra_trees,2032,3.5537340471084167,4.48830135054786,0.02335227301911713,0.004971501932654708,0.03827751196172249,1672
full_non_market__xgboost_squarederror,full_non_market,xgboost_squarederror,1987,3.553845885863531,4.511222954606212,0.013351386771480955,0.026684050126982693,0.03827751196172249,1672
elo_only__extra_trees,elo_only,extra_trees,40,3.5541477045504304,4.504599810195021,0.01624635310228395,-0.002010450670487866,0.03827751196172249,1672
statcast_team_plus_pitchmix__extra_trees,statcast_team_plus_pitchmix,extra_trees,658,3.55569380617951,4.4949094226814,0.020474342586130567,0.0116306126874444,0.03827751196172249,1672
all_clean__hist_gbdt_squared_error,all_clean,hist_gbdt_squared_error,2032,3.555772907824778,4.513878004750846,0.012189674107699888,0.029817432565042663,0.03827751196172249,1672
team_form_plus_elo__random_forest,team_form_plus_elo,random_forest,143,3.557706674982259,4.499980778830074,0.018262807140915327,0.02407159373792716,0.03827751196172249,1672
robust_elo_only__ridge_l2,robust_elo_only,ridge_l2,6,3.55816617140337,4.509592184055902,0.01406458880044914,-0.009568655966334157,0.03827751196172249,1672
team_form_plus_elo__extra_trees,team_form_plus_elo,extra_trees,143,3.558261608763584,4.5002977326948965,0.018124505947555214,0.0037705196551961894,0.03827751196172249,1672
starter_plus_team__xgboost_squarederror,starter_plus_team,xgboost_squarederror,422,3.5597512599734733,4.51353367116742,0.012340375254492386,0.019970618249095407,0.03827751196172249,1672
elo_only__random_forest,elo_only,random_forest,40,3.5616256790182494,4.514831136780191,0.011772466082749844,0.011519982554449281,0.03827751196172249,1672
market_elo_cluster__random_forest,market_elo_cluster,random_forest,55,3.5623660363757814,4.507530024527726,0.014966085501533555,0.02296357010974942,0.03827751196172249,1672
elo_only__ridge_l2,elo_only,ridge_l2,40,3.563728850603071,4.509578183601915,0.014070710649772611,-0.0033461534400276534,0.03827751196172249,1672
market_elo_cluster__extra_trees,market_elo_cluster,extra_trees,55,3.563839122287868,4.507518073866716,0.014971308668423555,-0.0002103938263573107,0.03827751196172249,1672
full_non_market__hist_gbdt_squared_error,full_non_market,hist_gbdt_squared_error,1987,3.564334431452136,4.519005295594873,0.009944302226049029,-0.0005978799169785306,0.03827751196172249,1672
market_elo_cluster__ridge_l2,market_elo_cluster,ridge_l2,55,3.565628249474343,4.512147660658316,0.012946860787969472,0.010528486180680946,0.03827751196172249,1672
team_form_plus_elo__xgboost_squarederror,team_form_plus_elo,xgboost_squarederror,143,3.5696052442333057,4.527904404845663,0.006041102982313973,0.05236351587602136,0.03827751196172249,1672
statcast_team_plus_pitchmix__hist_gbdt_squared_error,statcast_team_plus_pitchmix,hist_gbdt_squared_error,658,3.5703263407375365,4.537508829935192,0.001819932367769228,0.05841005905480593,0.03827751196172249,1672
elo_only__hist_gbdt_squared_error,elo_only,hist_gbdt_squared_error,40,3.573065504102349,4.533997963871412,0.003364004621534411,0.035210870245384135,0.03827751196172249,1672
robust_elo_only__extra_trees,robust_elo_only,extra_trees,6,3.57383670726411,4.52413900540558,0.007693565467122743,-0.011633536044420257,0.03827751196172249,1672
statcast_team_plus_pitchmix__xgboost_squarederror,statcast_team_plus_pitchmix,xgboost_squarederror,658,3.5750210652602434,4.5331538541737295,0.0037350642490039387,0.07103858185229092,0.03827751196172249,1672
team_form_plus_elo__hist_gbdt_squared_error,team_form_plus_elo,hist_gbdt_squared_error,143,3.575265077144652,4.532512976513083,0.004016739580968709,0.10498799696961045,0.03827751196172249,1672
elo_only__xgboost_squarederror,elo_only,xgboost_squarederror,40,3.575828795042223,4.524982444914258,0.00732353772600669,0.046919464888290664,0.03827751196172249,1672
market_elo_cluster__xgboost_squarederror,market_elo_cluster,xgboost_squarederror,55,3.5777113320257623,4.536145735020375,0.002419560867420678,0.05093583086767049,0.03827751196172249,1672
robust_elo_only__xgboost_squarederror,robust_elo_only,xgboost_squarederror,6,3.5785821349362554,4.531447143398191,0.004485101009993775,-0.002497022789786013,0.03827751196172249,1672
team_form_plus_elo__ridge_l2,team_form_plus_elo,ridge_l2,143,3.5799738467925217,4.532256629774412,0.004129396661877505,-0.015244655890345956,0.03827751196172249,1672
market_elo_cluster__hist_gbdt_squared_error,market_elo_cluster,hist_gbdt_squared_error,55,3.580814095379999,4.540288146537194,0.0005967466142315914,0.06635689092707704,0.03827751196172249,1672
robust_elo_only__hist_gbdt_squared_error,robust_elo_only,hist_gbdt_squared_error,6,3.5852217488825566,4.544423918768103,-0.001224805945250429,0.022385433165969706,0.03827751196172249,1672
robust_elo_only__random_forest,robust_elo_only,random_forest,6,3.599650311415397,4.563012192241184,-0.00943227234659294,-0.004741624167074866,0.03827751196172249,1672
