model_name,feature_set,estimator,feature_count,log_loss,brier,accuracy,auc,avg_pred,actual_mean,n,accuracy_tuned_threshold,tuned_threshold,validation_accuracy_at_tuned_threshold
elo_only__extra_trees,elo_only,extra_trees,40,0.6834239175844636,0.24523684664326764,0.5484449760765551,0.5655485593036502,0.5281286279135579,0.5316985645933014,1672,0.5472488038277512,0.5100000000000001,0.5557217651458489
starter_plus_team__random_forest,starter_plus_team,random_forest,422,0.6837902919943915,0.24546836305233755,0.5508373205741627,0.55915855345668,0.529447025131583,0.5316985645933014,1672,0.5382775119617225,0.5150000000000001,0.5519820493642483
accuracy_core_no_box__random_forest,accuracy_core_no_box,random_forest,949,0.6841658225315881,0.2456531616477927,0.5394736842105263,0.5552840377711407,0.5298626553781448,0.5316985645933014,1672,0.5460526315789473,0.4600000000000001,0.556469708302169
full_non_market__extra_trees,full_non_market,extra_trees,1987,0.6845739553346527,0.24580148343420571,0.5514354066985646,0.5576271356884988,0.5298007618993746,0.5316985645933014,1672,0.5574162679425837,0.4900000000000001,0.5594614809274495
full_non_market__random_forest,full_non_market,random_forest,1987,0.6846259191713618,0.2458713308677618,0.5394736842105263,0.5567479352437267,0.5304728774792498,0.5316985645933014,1672,0.5478468899521531,0.4600000000000001,0.5587135377711294
all_clean__extra_trees,all_clean,extra_trees,2032,0.684699614459869,0.24586346347338134,0.5472488038277512,0.5566545561115206,0.5303016621841562,0.5316985645933014,1672,0.541267942583732,0.4900000000000001,0.5534779356768885
accuracy_core_no_box__random_forest_accuracy,accuracy_core_no_box,random_forest_accuracy,949,0.684913552276238,0.24600343161125712,0.527511961722488,0.5528389411093728,0.5163715427394404,0.5316985645933014,1672,0.5478468899521531,0.4600000000000001,0.550486163051608
starter_plus_team__extra_trees,starter_plus_team,extra_trees,422,0.6849605451600725,0.24600001966991233,0.5520334928229665,0.5541735443989041,0.528856337164741,0.5316985645933014,1672,0.52811004784689,0.5250000000000001,0.5587135377711294
elo_only__extra_trees_accuracy,elo_only,extra_trees_accuracy,40,0.6849914434006357,0.24598838360861347,0.5532296650717703,0.5672681719382778,0.5038464670709903,0.5316985645933014,1672,0.5472488038277512,0.43500000000000005,0.5572176514584891
accuracy_core_no_box__extra_trees,accuracy_core_no_box,extra_trees,949,0.68499262991558,0.24600431223754324,0.5484449760765551,0.5533848498822704,0.5301395051088617,0.5316985645933014,1672,0.5418660287081339,0.4700000000000001,0.5557217651458489
statcast_team_plus_pitchmix__extra_trees,statcast_team_plus_pitchmix,extra_trees,658,0.6852585933653094,0.2461273163290596,0.5502392344497608,0.5555900340043701,0.5305260605623959,0.5316985645933014,1672,0.5406698564593302,0.44500000000000006,0.5512341062079282
all_clean__random_forest,all_clean,random_forest,2032,0.685430383935157,0.24627553352126685,0.541267942583732,0.5512787913005127,0.5304053892838054,0.5316985645933014,1672,0.5484449760765551,0.4800000000000001,0.5557217651458489
starter_plus_team__extra_trees_accuracy,starter_plus_team,extra_trees_accuracy,422,0.6855382483038556,0.24628598634736734,0.5370813397129187,0.5573599277101856,0.507858531469107,0.5316985645933014,1672,0.5293062200956937,0.5050000000000001,0.5519820493642483
statcast_team_plus_pitchmix__random_forest,statcast_team_plus_pitchmix,random_forest,658,0.6855571851645528,0.24630004793867677,0.5466507177033493,0.5521163302863004,0.5322639740104342,0.5316985645933014,1672,0.5502392344497608,0.4750000000000001,0.5557217651458489
accuracy_core_no_box__extra_trees_accuracy,accuracy_core_no_box,extra_trees_accuracy,949,0.685589201163358,0.24629701817426264,0.5322966507177034,0.5559118328599729,0.5092208661737041,0.5316985645933014,1672,0.5460526315789473,0.45000000000000007,0.5572176514584891
market_elo_cluster__random_forest,market_elo_cluster,random_forest,55,0.6857205892158823,0.2463294488280786,0.5478468899521531,0.5572464361495042,0.5317447774687128,0.5316985645933014,1672,0.5328947368421053,0.41000000000000003,0.5489902767389678
statcast_team_plus_pitchmix__extra_trees_accuracy,statcast_team_plus_pitchmix,extra_trees_accuracy,658,0.685777778005639,0.24637847753700584,0.5382775119617225,0.5561862238484557,0.5093975013495107,0.5316985645933014,1672,0.5490430622009569,0.4700000000000001,0.5549738219895288
