component,explained_variance_ratio,cumulative_explained_variance
1,0.17984000639244832,0.17984000639244832
2,0.08371796856804332,0.26355797496049166
3,0.06339951581150684,0.3269574907719985
4,0.05465029395483752,0.381607784726836
5,0.0378309556431138,0.41943874036994977
6,0.032194650776394586,0.4516333911463444
7,0.024384192835784874,0.47601758398212923
8,0.022719087020862852,0.49873667100299207
9,0.018707171520055216,0.5174438425230473
10,0.017665776074291224,0.5351096185973385
11,0.017266880691243526,0.552376499288582
12,0.015921909586070777,0.5682984088746528
13,0.014055315674318168,0.5823537245489709
14,0.01393367776730953,0.5962874023162805
15,0.012480212710727656,0.6087676150270082
16,0.011349567130026716,0.6201171821570348
17,0.011188398442764487,0.6313055805997994
18,0.010474258201184626,0.641779838800984
19,0.010142681806828884,0.6519225206078129
20,0.009425196198906903,0.6613477168067198
21,0.00930451581533868,0.6706522326220584
22,0.008734666513136338,0.6793868991351948
23,0.008561063570256286,0.6879479627054511
24,0.008376815750887112,0.6963247784563382
25,0.007810688388368763,0.704135466844707
26,0.007524294889674513,0.7116597617343815
27,0.007220886281860912,0.7188806480162424
28,0.007161003272901873,0.7260416512891443
29,0.00681477001986508,0.7328564213090094
30,0.006568588527389042,0.7394250098363985
31,0.006250606069961716,0.7456756159063602
32,0.005946587442492951,0.7516222033488532
33,0.005782625497556591,0.7574048288464098
34,0.005668563913963025,0.7630733927603728
35,0.005510421861633052,0.7685838146220059
36,0.0052926447256070016,0.7738764593476128
37,0.00511531315772177,0.7789917725053346
38,0.004916873754763968,0.7839086462600986
39,0.004814965037608405,0.788723611297707
40,0.004715042478170021,0.793438653775877
41,0.004461768033152741,0.7979004218090298
42,0.004365492337248756,0.8022659141462786
43,0.0043418041504223424,0.8066077182967009
44,0.004282499213078289,0.8108902175097792
45,0.004110071925706127,0.8150002894354853
46,0.0039273481776219,0.8189276376131072
47,0.0037644228788183236,0.8226920604919254
48,0.0036474780158210554,0.8263395385077466
49,0.003566219321123744,0.8299057578288703
50,0.0035116430604576108,0.8334174008893279
