feature,family,target,corr,abs_corr,n,missing_rate
diff_team_team_run_diff_season_to_date,team_form,target_home_win,0.12882433492047193,0.12882433492047193,8342,0.006425511661113755
diff_team_team_win_season_to_date,team_form,target_home_win,0.12461210432054098,0.12461210432054098,8342,0.006425511661113755
robust_diff_elo_home_adv,elo,target_home_win,0.1245239207007637,0.1245239207007637,8357,0.0
robust_diff_elo_pre,elo,target_home_win,0.1245239207007637,0.1245239207007637,8357,0.0
robust_elo_home_win_prob,elo,target_home_win,0.1245239207007637,0.1245239207007637,8357,0.0
diff_team_ewm_run_diff_hl30,diff_features,target_home_win,0.12376594636739462,0.12376594636739462,8342,0.0017848643503093765
diff_team_team_runs_against_season_to_date,team_form,target_home_win,-0.12022085214317729,0.12022085214317729,8342,0.006425511661113755
diff_box_box_runs_against_season_to_date,boxscore,target_home_win,-0.12022085214317729,0.12022085214317729,8342,0.006425511661113755
diff_box_box_box_pitch_runs_season_to_date,boxscore,target_home_win,-0.12022045324520708,0.12022045324520708,8342,0.006425511661113755
diff_elo_pre,elo,target_home_win,0.11684493335650703,0.11684493335650703,8357,0.0
elo_home_win_prob,elo,target_home_win,0.11684493335650703,0.11684493335650703,8357,0.0
diff_team_ewm_run_diff_hl15,diff_features,target_home_win,0.1166883212674566,0.1166883212674566,8342,0.0017848643503093765
diff_box_box_box_pitch_earnedRuns_season_to_date,boxscore,target_home_win,-0.11665351876120238,0.11665351876120238,8342,0.006425511661113755
diff_box_box_box_pitch_obp_season_to_date,boxscore,target_home_win,-0.11615774618924533,0.11615774618924533,8342,0.006425511661113755
diff_box_box_box_pitch_rbi_season_to_date,boxscore,target_home_win,-0.11579081727202115,0.11579081727202115,8342,0.006425511661113755
diff_team_ewm_run_diff_hl60,diff_features,target_home_win,0.11350167972675068,0.11350167972675068,8342,0.0017848643503093765
diff_box_box_box_pitch_battersFaced_season_to_date,boxscore,target_home_win,-0.11292842370256648,0.11292842370256648,8342,0.006425511661113755
diff_team_ewm_team_win_hl30,diff_features,target_home_win,0.11171918505527188,0.11171918505527188,8342,0.0017848643503093765
diff_team_sc_team_off_sc_pitches_seen_season_to_date,statcast,target_home_win,0.10948295131038667,0.10948295131038667,8342,0.007377439314612089
diff_box_box_box_pitch_whip_season_to_date,boxscore,target_home_win,-0.10742821318670161,0.10742821318670161,8342,0.006425511661113755
diff_box_box_box_pitch_hits_season_to_date,boxscore,target_home_win,-0.10632483100798887,0.10632483100798887,8342,0.006425511661113755
diff_box_box_box_bat_baseOnBalls_season_to_date,boxscore,target_home_win,0.10589981291924544,0.10589981291924544,8342,0.006425511661113755
diff_team_ewm_team_win_hl15,diff_features,target_home_win,0.10319971807774403,0.10319971807774403,8342,0.0017848643503093765
diff_box_box_box_pitch_era_season_to_date,boxscore,target_home_win,-0.10275201243515397,0.10275201243515397,8342,0.006425511661113755
diff_team_pitchmix_team_pitchmix_pt_pitches_fastball_season_to_date,pitchmix,target_home_win,0.1019610113622162,0.1019610113622162,8342,0.007377439314612089
diff_box_box_box_pitch_whip_last5,boxscore,target_home_win,-0.10194811208122223,0.10194811208122223,8342,0.006425511661113755
diff_box_box_box_pitch_whip_last3,boxscore,target_home_win,-0.10137696284059423,0.10137696284059423,8342,0.006425511661113755
diff_box_box_box_pitch_whip_last10,boxscore,target_home_win,-0.1010332993337284,0.1010332993337284,8342,0.006425511661113755
diff_box_box_box_pitch_whip_last20,boxscore,target_home_win,-0.10088915982323764,0.10088915982323764,8342,0.006425511661113755
diff_box_box_box_bat_rbi_season_to_date,boxscore,target_home_win,0.10053447761503438,0.10053447761503438,8342,0.006425511661113755
diff_box_box_runs_for_season_to_date,boxscore,target_home_win,0.10021571358988386,0.10021571358988386,8342,0.006425511661113755
diff_team_team_runs_for_season_to_date,team_form,target_home_win,0.10021571358988386,0.10021571358988386,8342,0.006425511661113755
diff_box_box_box_bat_runs_season_to_date,boxscore,target_home_win,0.10016949207852517,0.10016949207852517,8342,0.006425511661113755
diff_team_sc_team_off_sc_xwoba_contact_season_to_date,statcast,target_home_win,0.10014241677187825,0.10014241677187825,8342,0.007377439314612089
diff_team_ewm_runs_for_hl30,team_form,target_home_win,0.09916573184197748,0.09916573184197748,8342,0.0017848643503093765
diff_box_box_box_pitch_baseOnBalls_season_to_date,boxscore,target_home_win,-0.0981209370084482,0.0981209370084482,8342,0.006425511661113755
diff_team_ewm_team_win_hl60,diff_features,target_home_win,0.09791376235322358,0.09791376235322358,8342,0.0017848643503093765
diff_team_team_run_diff_last20,team_form,target_home_win,0.09719776478076154,0.09719776478076154,8342,0.006425511661113755
diff_team_sc_team_off_sc_bb_rate_season_to_date,statcast,target_home_win,0.09641767109284918,0.09641767109284918,8342,0.007377439314612089
diff_box_box_box_pitch_shutouts_season_to_date,boxscore,target_home_win,0.09608292885894534,0.09608292885894534,8342,0.006425511661113755
home_team_ewm_run_diff_hl30,other,target_home_win,0.09563763949176336,0.09563763949176336,8342,0.0017848643503093765
diff_starter_starter_statcast_sc_k_rate_season_to_date,starter,target_home_win,0.0953690928124448,0.0953690928124448,8040,0.043312708234174206
diff_team_sc_team_off_sc_woba_season_to_date,statcast,target_home_win,0.09464130915393068,0.09464130915393068,8342,0.007377439314612089
diff_box_box_box_bat_obp_season_to_date,boxscore,target_home_win,0.094462157177638,0.094462157177638,8342,0.006425511661113755
diff_team_ewm_scored_5plus_hl30,diff_features,target_home_win,0.09404835768078597,0.09404835768078597,8342,0.0017848643503093765
home_box_box_box_pitch_battersFaced_season_to_date,boxscore,target_home_win,-0.09398070323803492,0.09398070323803492,8342,0.006425511661113755
home_team_team_run_diff_season_to_date,team_form,target_home_win,0.09338859868902215,0.09338859868902215,8342,0.006425511661113755
diff_team_ewm_runs_for_hl15,team_form,target_home_win,0.09221734746931834,0.09221734746931834,8342,0.0017848643503093765
diff_team_ewm_runs_for_hl60,team_form,target_home_win,0.0921616024339246,0.0921616024339246,8342,0.0017848643503093765
diff_box_box_box_pitch_inningsPitched_season_to_date,boxscore,target_home_win,0.09160126421541781,0.09160126421541781,8342,0.006425511661113755
