feature,family,target,corr,abs_corr,n,missing_rate
home_team_ewm_total_runs_hl30,odds_market,target_total_runs,0.09584252684225934,0.09584252684225934,8342,0.0017848643503093765
home_team_ewm_total_runs_hl15,odds_market,target_total_runs,0.09186032581672995,0.09186032581672995,8342,0.0017848643503093765
home_team_ewm_total_runs_hl60,odds_market,target_total_runs,0.08218995952546407,0.08218995952546407,8342,0.0017848643503093765
home_box_box_box_pitch_rbi_last20,boxscore,target_total_runs,0.08144324056883866,0.08144324056883866,8342,0.006425511661113755
home_box_box_box_pitch_runs_last20,boxscore,target_total_runs,0.08006104248157221,0.08006104248157221,8342,0.006425511661113755
home_team_ewm_runs_against_hl15,team_form,target_total_runs,0.07983973391871502,0.07983973391871502,8342,0.0017848643503093765
home_box_box_runs_against_last20,boxscore,target_total_runs,0.0797801641625561,0.0797801641625561,8342,0.006425511661113755
home_team_team_runs_against_last20,team_form,target_total_runs,0.0797801641625561,0.0797801641625561,8342,0.006425511661113755
home_box_box_box_pitch_obp_last20,boxscore,target_total_runs,0.07790106953312059,0.07790106953312059,8342,0.006425511661113755
home_team_ewm_runs_against_hl30,team_form,target_total_runs,0.07665893366024101,0.07665893366024101,8342,0.0017848643503093765
home_box_box_box_pitch_earnedRuns_last20,boxscore,target_total_runs,0.07370402422845258,0.07370402422845258,8342,0.006425511661113755
home_team_ewm_allowed_5plus_hl15,other,target_total_runs,0.07298279320818572,0.07298279320818572,8342,0.0017848643503093765
home_starter_starter_statcast_sc_woba_allowed_last20,starter,target_total_runs,0.07266372582156982,0.07266372582156982,8157,0.029390766301761066
home_starter_starter_statcast_sc_woba_allowed_season_to_date,starter,target_total_runs,0.07235927391854527,0.07235927391854527,8157,0.029390766301761066
home_box_box_box_pitch_hits_last20,boxscore,target_total_runs,0.0718812435987421,0.0718812435987421,8342,0.006425511661113755
home_box_box_box_pitch_whip_last20,boxscore,target_total_runs,0.06910979536728817,0.06910979536728817,8342,0.006425511661113755
home_box_box_box_pitch_whip_last5,boxscore,target_total_runs,0.06902144606175918,0.06902144606175918,8342,0.006425511661113755
home_box_box_box_pitch_battersFaced_last20,boxscore,target_total_runs,0.06897421176667673,0.06897421176667673,8342,0.006425511661113755
home_box_box_box_pitch_whip_last3,boxscore,target_total_runs,0.06888624886241046,0.06888624886241046,8342,0.006425511661113755
home_box_box_box_pitch_whip_last10,boxscore,target_total_runs,0.06845126658236649,0.06845126658236649,8342,0.006425511661113755
home_starter_starter_statcast_sc_k_rate_last20,starter,target_total_runs,-0.06809279043859955,0.06809279043859955,8157,0.029390766301761066
home_box_box_box_pitch_rbi_season_to_date,boxscore,target_total_runs,0.06691674238885331,0.06691674238885331,8342,0.006425511661113755
home_starter_starter_statcast_sc_k_rate_last10,starter,target_total_runs,-0.06683601034194708,0.06683601034194708,8157,0.029390766301761066
home_team_ewm_runs_against_hl60,team_form,target_total_runs,0.06647855135298236,0.06647855135298236,8342,0.0017848643503093765
home_starter_starter_statcast_sc_k_rate_last5,starter,target_total_runs,-0.0663778301094968,0.0663778301094968,8157,0.029390766301761066
home_box_box_box_pitch_runs_season_to_date,boxscore,target_total_runs,0.06551365075568079,0.06551365075568079,8342,0.006425511661113755
home_box_box_runs_against_season_to_date,boxscore,target_total_runs,0.0654805452363824,0.0654805452363824,8342,0.006425511661113755
home_team_team_runs_against_season_to_date,team_form,target_total_runs,0.0654805452363824,0.0654805452363824,8342,0.006425511661113755
home_box_box_box_pitch_earnedRuns_season_to_date,boxscore,target_total_runs,0.06539696997109894,0.06539696997109894,8342,0.006425511661113755
home_team_ewm_allowed_5plus_hl30,other,target_total_runs,0.06522887179650165,0.06522887179650165,8342,0.0017848643503093765
home_starter_starter_statcast_sc_woba_allowed_last3,starter,target_total_runs,0.06505957001049809,0.06505957001049809,8157,0.029390766301761066
home_starter_starter_statcast_sc_k_rate_season_to_date,starter,target_total_runs,-0.06498697450280005,0.06498697450280005,8157,0.029390766301761066
home_box_box_box_pitch_runs_last10,boxscore,target_total_runs,0.06443211594372537,0.06443211594372537,8342,0.006425511661113755
home_box_box_box_pitch_rbi_last10,boxscore,target_total_runs,0.06423524790850237,0.06423524790850237,8342,0.006425511661113755
home_box_box_runs_against_last10,boxscore,target_total_runs,0.06402790388005186,0.06402790388005186,8342,0.006425511661113755
home_team_team_runs_against_last10,team_form,target_total_runs,0.06402790388005186,0.06402790388005186,8342,0.006425511661113755
home_box_box_box_pitch_era_last20,boxscore,target_total_runs,0.061885549472030094,0.061885549472030094,8342,0.006425511661113755
home_box_box_box_pitch_era_last3,boxscore,target_total_runs,0.06173102701830364,0.06173102701830364,8342,0.006425511661113755
home_starter_box_rolling10_k_per_9,starter,target_total_runs,-0.06144058729628593,0.06144058729628593,8013,0.04652546406473108
home_box_box_box_pitch_era_last5,boxscore,target_total_runs,0.061216880623760565,0.061216880623760565,8342,0.006425511661113755
home_box_box_box_pitch_earnedRuns_last10,boxscore,target_total_runs,0.061100456026932655,0.061100456026932655,8342,0.006425511661113755
home_starter_box_rolling5_k_per_9,starter,target_total_runs,-0.06066440365209531,0.06066440365209531,8013,0.04652546406473108
home_box_box_box_pitch_battersFaced_season_to_date,boxscore,target_total_runs,0.060335305268938266,0.060335305268938266,8342,0.006425511661113755
home_box_box_box_pitch_doubles_season_to_date,boxscore,target_total_runs,0.05984862244737292,0.05984862244737292,8342,0.006425511661113755
home_starter_starter_statcast_sc_woba_allowed_last5,starter,target_total_runs,0.05982872600363945,0.05982872600363945,8157,0.029390766301761066
home_box_box_box_pitch_hits_season_to_date,boxscore,target_total_runs,0.05965318154191824,0.05965318154191824,8342,0.006425511661113755
home_box_box_box_pitch_era_last10,boxscore,target_total_runs,0.059650318209232986,0.059650318209232986,8342,0.006425511661113755
home_box_box_box_pitch_shutouts_season_to_date,boxscore,target_total_runs,-0.059561420105976544,0.059561420105976544,8342,0.006425511661113755
home_box_box_box_pitch_homeRuns_season_to_date,boxscore,target_total_runs,0.0593226926436556,0.0593226926436556,8342,0.006425511661113755
home_team_ewm_total_runs_hl120,odds_market,target_total_runs,0.059284979624914184,0.059284979624914184,8342,0.0017848643503093765
