model_name,feature_set,estimator,feature_count,mae,rmse,r2,avg_pred,actual_mean,n,poisson_deviance
starter_plus_team__random_forest,starter_plus_team,random_forest,422,3.519897071045657,4.45421690080645,0.01418390704915895,8.830909083280718,8.990430622009569,1672,2.2035286414079693
market_elo_cluster__ridge_l2,market_elo_cluster,ridge_l2,55,3.5210694058962146,4.454718698373524,0.013961776877876919,8.896362548386797,8.990430622009569,1672,2.203653505073579
full_non_market__random_forest,full_non_market,random_forest,1987,3.521236313941032,4.452934413025957,0.014751510786810362,8.857616908121274,8.990430622009569,1672,2.2024086505030396
all_clean__random_forest,all_clean,random_forest,2032,3.522852693729058,4.456049208270475,0.013372680405622672,8.86970202943987,8.990430622009569,1672,2.205322599944645
market_elo_cluster__random_forest,market_elo_cluster,random_forest,55,3.5229410973370827,4.44767890959428,0.01707578539975263,8.892518972583268,8.990430622009569,1672,2.196883473345437
team_form_plus_elo__random_forest,team_form_plus_elo,random_forest,143,3.5238413039023335,4.456067111258535,0.013364752480332642,8.788713818890232,8.990430622009569,1672,2.2054516958426413
market_elo_cluster__extra_trees,market_elo_cluster,extra_trees,55,3.525385647628344,4.457283915661667,0.012825844067312575,8.873323240992047,8.990430622009569,1672,2.2060578452744535
elo_only__ridge_l2,elo_only,ridge_l2,40,3.525723242095462,4.469783910151235,0.007281223435883222,8.864477380925655,8.990430622009569,1672,2.2185879773100208
accuracy_core_no_box__random_forest,accuracy_core_no_box,random_forest,949,3.5259474549074556,4.451605235894768,0.015339605822201952,8.891716181250274,8.990430622009569,1672,2.200945378617639
starter_plus_team__extra_trees,starter_plus_team,extra_trees,422,3.5284372722648376,4.459705280113173,0.011753012402726526,8.877326548674771,8.990430622009569,1672,2.208290500545583
elo_only__hist_gbdt_squared_error,elo_only,hist_gbdt_squared_error,40,3.5289108224383883,4.479858286985473,0.0028012334308250564,8.81800169664008,8.990430622009569,1672,2.2284441987913093
market_elo_cluster__poisson_glm_l2,market_elo_cluster,poisson_glm_l2,55,3.5291755391209123,4.460896587068537,0.011224967305154876,8.871979012789616,8.990430622009569,1672,2.2095429474006862
elo_only__random_forest,elo_only,random_forest,40,3.530401110527398,4.465116928609463,0.009353172147576583,8.82029713327416,8.990430622009569,1672,2.214403491783893
accuracy_core_no_box__extra_trees,accuracy_core_no_box,extra_trees,949,3.5304200767761516,4.459455923566296,0.011863521484191897,8.902821160631353,8.990430622009569,1672,2.208176497895359
team_form_plus_elo__ridge_l2,team_form_plus_elo,ridge_l2,143,3.530470050882533,4.4679279316899985,0.008105461109621848,8.91636352910277,8.990430622009569,1672,2.2161946004625355
elo_only__extra_trees,elo_only,extra_trees,40,3.5315717781719367,4.467444074406936,0.008320285259225457,8.842058583999352,8.990430622009569,1672,2.2158684323458373
team_form_plus_elo__hist_gbdt_poisson,team_form_plus_elo,hist_gbdt_poisson,143,3.531731058241242,4.464019287945713,0.00984016525739273,8.812254771082001,8.990430622009569,1672,2.2132299358441103
statcast_team_plus_pitchmix__random_forest,statcast_team_plus_pitchmix,random_forest,658,3.532815244082585,4.4646282012603,0.009570021878199664,8.83838231876378,8.990430622009569,1672,2.2137670461285124
team_form_plus_elo__extra_trees,team_form_plus_elo,extra_trees,143,3.532961537079504,4.464637965899076,0.009565689512273767,8.840224330413498,8.990430622009569,1672,2.2134809955683954
starter_plus_team__xgboost_poisson,starter_plus_team,xgboost_poisson,422,3.533295758603292,4.466920283561008,0.008552812985265001,8.837559536883706,8.990430622009569,1672,2.215954732204402
elo_only__hist_gbdt_poisson,elo_only,hist_gbdt_poisson,40,3.5333366496510563,4.486362965569371,-9.670045828946705e-05,8.81004528239903,8.990430622009569,1672,2.23586848838769
team_form_plus_elo__poisson_glm_l2,team_form_plus_elo,poisson_glm_l2,143,3.535012761175849,4.467832843403413,0.008147680478405528,8.8765610205302,8.990430622009569,1672,2.216327248713989
accuracy_core_no_box__hist_gbdt_poisson,accuracy_core_no_box,hist_gbdt_poisson,949,3.535302686322737,4.469371687078937,0.007464320749813735,8.858076208235406,8.990430622009569,1672,2.21943991522117
statcast_team_plus_pitchmix__hist_gbdt_poisson,statcast_team_plus_pitchmix,hist_gbdt_poisson,658,3.5355016210867074,4.479848606217386,0.0028055432276742343,8.757974316497586,8.990430622009569,1672,2.2284682674296623
full_non_market__xgboost_poisson,full_non_market,xgboost_poisson,1987,3.5355360191404532,4.471514301103975,0.0065124506588893905,8.83538292954413,8.990430622009569,1672,2.2210906681185247
team_form_plus_elo__xgboost_poisson,team_form_plus_elo,xgboost_poisson,143,3.5357943416782542,4.467876213806148,0.008128424053714833,8.784264009249839,8.990430622009569,1672,2.2163094207022644
all_clean__extra_trees,all_clean,extra_trees,2032,3.5363084139482384,4.4630682381866,0.010262023183590596,8.905238597783834,8.990430622009569,1672,2.2119803179477184
starter_plus_team__poisson_glm_l2,starter_plus_team,poisson_glm_l2,422,3.5364952577640945,4.483425677189031,0.0012124271374460704,8.89034065646539,8.990430622009569,1672,2.231759887653246
full_non_market__extra_trees,full_non_market,extra_trees,1987,3.5367744980060905,4.465860550833318,0.00902317929347729,8.915037795508987,8.990430622009569,1672,2.2146698593412877
full_non_market__hist_gbdt_poisson,full_non_market,hist_gbdt_poisson,1987,3.5369890474047505,4.47660673677733,0.004248272574572387,8.827563229708709,8.990430622009569,1672,2.2256104058968855
elo_only__xgboost_poisson,elo_only,xgboost_poisson,40,3.5370196349312812,4.474066517535327,0.005378016683852294,8.818881902968485,8.990430622009569,1672,2.222220217453851
team_form_plus_elo__hist_gbdt_squared_error,team_form_plus_elo,hist_gbdt_squared_error,143,3.5371009208756274,4.471585586582347,0.006480773783914318,8.805012911412499,8.990430622009569,1672,2.2203038208525006
elo_only__poisson_glm_l2,elo_only,poisson_glm_l2,40,3.537115392086613,4.476740608975628,0.0041887160963034464,8.853062985189638,8.990430622009569,1672,2.2253125535487492
starter_plus_team__hist_gbdt_poisson,starter_plus_team,hist_gbdt_poisson,422,3.5371527013647075,4.46985004925678,0.0072518448265253,8.825652785936782,8.990430622009569,1672,2.218307361577126
all_clean__xgboost_poisson,all_clean,xgboost_poisson,2032,3.5375529347994683,4.467442874794122,0.008320817837368044,8.86319979098425,8.990430622009569,1672,2.21650559835485
statcast_team_plus_pitchmix__xgboost_poisson,statcast_team_plus_pitchmix,xgboost_poisson,658,3.53777952770297,4.480225627685555,0.002637689547054345,8.818831980228424,8.990430622009569,1672,2.2288410759160096
statcast_team_plus_pitchmix__extra_trees,statcast_team_plus_pitchmix,extra_trees,658,3.5382505302152607,4.468596419557672,0.007808625941568725,8.896430594173196,8.990430622009569,1672,2.217412204616097
accuracy_core_no_box__xgboost_poisson,accuracy_core_no_box,xgboost_poisson,949,3.540893345358269,4.467626471107906,0.00823930705431053,8.87563933824238,8.990430622009569,1672,2.2166570259961267
market_elo_cluster__xgboost_poisson,market_elo_cluster,xgboost_poisson,55,3.5426660593616903,4.46792127789079,0.008108415437571792,8.917048511322605,8.990430622009569,1672,2.2152022279582897
starter_plus_team__hist_gbdt_squared_error,starter_plus_team,hist_gbdt_squared_error,422,3.5431186188248245,4.472630163723729,0.006016540830857342,8.849320636567969,8.990430622009569,1672,2.221066529912701
accuracy_core_no_box__hist_gbdt_squared_error,accuracy_core_no_box,hist_gbdt_squared_error,949,3.54840415425469,4.479710196485132,0.0028671610624444455,8.900155587600263,8.990430622009569,1672,2.2289440460321535
full_non_market__hist_gbdt_squared_error,full_non_market,hist_gbdt_squared_error,1987,3.5497937004817244,4.488376924125651,-0.000994802286407248,8.87787052190754,8.990430622009569,1672,2.238389773297679
all_clean__hist_gbdt_poisson,all_clean,hist_gbdt_poisson,2032,3.549835168262812,4.484471636466897,0.0007463491586354731,8.846144804920558,8.990430622009569,1672,2.2334051350841695
market_elo_cluster__hist_gbdt_squared_error,market_elo_cluster,hist_gbdt_squared_error,55,3.552540064940285,4.486888938051634,-0.0003312129946388964,8.925527593234037,8.990430622009569,1672,2.2337788320591234
statcast_team_plus_pitchmix__hist_gbdt_squared_error,statcast_team_plus_pitchmix,hist_gbdt_squared_error,658,3.553177815892959,4.4929904883333585,-0.0030536878703975034,8.832652255230757,8.990430622009569,1672,2.242453711615528
market_elo_cluster__hist_gbdt_poisson,market_elo_cluster,hist_gbdt_poisson,55,3.553985681310424,4.491296263659022,-0.00229736403394587,8.90885010931713,8.990430622009569,1672,2.2378311243555684
starter_plus_team__ridge_l2,starter_plus_team,ridge_l2,422,3.5548427067482438,4.523311569189309,-0.016637645299219184,8.91315259195412,8.990430622009569,1672,2.2729193737149114
all_clean__hist_gbdt_squared_error,all_clean,hist_gbdt_squared_error,2032,3.5563202138529553,4.476010055836916,0.004513699723125986,8.892966139208271,8.990430622009569,1672,2.2259495629787347
robust_elo_only__poisson_glm_l2,robust_elo_only,poisson_glm_l2,6,3.558244917346451,4.485549221733875,0.0002660649821865091,8.965880517310753,8.990430622009569,1672,2.2338798435005036
robust_elo_only__ridge_l2,robust_elo_only,ridge_l2,6,3.5586724004561687,4.4857746148395465,0.0001655917573166743,8.966264392525376,8.990430622009569,1672,2.2341046994459646
robust_elo_only__extra_trees,robust_elo_only,extra_trees,6,3.5606529037967993,4.4851593087689725,0.0004398641140554993,8.940447526879915,8.990430622009569,1672,2.2338705079649857
robust_elo_only__xgboost_poisson,robust_elo_only,xgboost_poisson,6,3.5615091942714163,4.484405944053698,0.000775624805018249,8.923908068517749,8.990430622009569,1672,2.232927983545324
statcast_team_plus_pitchmix__poisson_glm_l2,statcast_team_plus_pitchmix,poisson_glm_l2,658,3.5682789328259266,4.543752354363569,-0.025846750456484324,8.75873077300781,8.990430622009569,1672,2.2932896241378673
accuracy_core_no_box__poisson_glm_l2,accuracy_core_no_box,poisson_glm_l2,949,3.5712217884034407,4.558490136296749,-0.03251226542589669,8.759704298074258,8.990430622009569,1672,2.308210346637988
robust_elo_only__hist_gbdt_poisson,robust_elo_only,hist_gbdt_poisson,6,3.5852611797238434,4.502846485973995,-0.0074591893138760135,8.934955781508002,8.990430622009569,1672,2.2527715028449373
robust_elo_only__random_forest,robust_elo_only,random_forest,6,3.585462108349231,4.519479374832668,-0.014915764043641255,8.935678744828529,8.990430622009569,1672,2.268659708605583
robust_elo_only__hist_gbdt_squared_error,robust_elo_only,hist_gbdt_squared_error,6,3.585712979595887,4.504090361165235,-0.00801587121829983,8.937809456598027,8.990430622009569,1672,2.2542346206549833
statcast_team_plus_pitchmix__ridge_l2,statcast_team_plus_pitchmix,ridge_l2,658,3.607978401449229,4.621528015644098,-0.06126626852594308,8.63567228715436,8.990430622009569,1672,2.388402179414345
full_non_market__poisson_glm_l2,full_non_market,poisson_glm_l2,1987,3.62033624040726,4.640928812702548,-0.07019518890229115,8.72856125077472,8.990430622009569,1672,2.4047178963477505
all_clean__poisson_glm_l2,all_clean,poisson_glm_l2,2032,3.623756075283184,4.643734871166297,-0.0714897306866773,8.752846160517688,8.990430622009569,1672,2.4069962818543957
accuracy_core_no_box__ridge_l2,accuracy_core_no_box,ridge_l2,949,3.646476751095081,4.688412938612639,-0.0922068405389207,8.594423509584017,8.990430622009569,1672,2.4735709329804307
full_non_market__ridge_l2,full_non_market,ridge_l2,1987,3.8410515776907674,4.98461624312685,-0.23457260939171842,8.350142905568134,8.990430622009569,1672,3.0060739298314436
all_clean__ridge_l2,all_clean,ridge_l2,2032,3.8444192664774888,4.973133250477631,-0.22889102497230351,8.499012944380558,8.990430622009569,1672,2.937003955365118
full_non_market__extra_trees_accuracy,full_non_market,extra_trees_accuracy,1987,4.708133971291866,6.00298968577026,-0.7905579242915144,8.342105263157896,8.990430622009569,1672,4.502456061700711
all_clean__extra_trees_accuracy,all_clean,extra_trees_accuracy,2032,4.731459330143541,6.0288877944673605,-0.8060409070730965,8.346291866028707,8.990430622009569,1672,4.549425353099634
accuracy_core_no_box__extra_trees_accuracy,accuracy_core_no_box,extra_trees_accuracy,949,4.860047846889952,6.24241166131186,-0.9362346643976851,8.470095693779903,8.990430622009569,1672,4.957379071501774
all_clean__random_forest_accuracy,all_clean,random_forest_accuracy,2032,5.159090909090909,6.8691634642483645,-1.3445574732632068,8.995215311004785,8.990430622009569,1672,4.866367352164007
statcast_team_plus_pitchmix__extra_trees_accuracy,statcast_team_plus_pitchmix,extra_trees_accuracy,658,5.169258373205742,6.626167857703946,-1.1816146813411068,8.653708133971293,8.990430622009569,1672,5.318671493960196
full_non_market__random_forest_accuracy,full_non_market,random_forest_accuracy,1987,5.1830143540669855,6.897229178077834,-1.3637551831996788,8.936602870813397,8.990430622009569,1672,4.985174106582411
accuracy_core_no_box__random_forest_accuracy,accuracy_core_no_box,random_forest_accuracy,949,5.554425837320574,7.346719151883425,-1.6818844167444684,9.56877990430622,8.990430622009569,1672,5.351608280498395
starter_plus_team__extra_trees_accuracy,starter_plus_team,extra_trees_accuracy,422,5.922248803827751,7.466832562522506,-1.7702949230308533,9.00598086124402,8.990430622009569,1672,7.2714854045032675
statcast_team_plus_pitchmix__random_forest_accuracy,statcast_team_plus_pitchmix,random_forest_accuracy,658,5.976674641148326,7.8471873484896895,-2.059716745122652,10.008971291866029,8.990430622009569,1672,5.846111121873017
starter_plus_team__random_forest_accuracy,starter_plus_team,random_forest_accuracy,422,6.027511961722488,7.888274867344261,-2.0918417055581418,9.898325358851675,8.990430622009569,1672,6.5199373595984085
team_form_plus_elo__random_forest_accuracy,team_form_plus_elo,random_forest_accuracy,143,6.057416267942584,7.8511115234156525,-2.0627776802982813,9.85047846889952,8.990430622009569,1672,6.881004423423723
market_elo_cluster__random_forest_accuracy,market_elo_cluster,random_forest_accuracy,55,6.55322966507177,8.307811796261712,-2.4294658272117946,10.388157894736842,8.990430622009569,1672,7.9467777884709685
elo_only__random_forest_accuracy,elo_only,random_forest_accuracy,40,6.993421052631579,8.739484453716157,-2.795113850521939,11.224282296650717,8.990430622009569,1672,8.588502026745546
team_form_plus_elo__extra_trees_accuracy,team_form_plus_elo,extra_trees_accuracy,143,7.081937799043062,8.851208929944605,-2.89276659796969,10.73744019138756,8.990430622009569,1672,8.576823130509666
robust_elo_only__random_forest_accuracy,robust_elo_only,random_forest_accuracy,6,8.214114832535886,9.873724252885006,-3.8441230812456686,13.44377990430622,8.990430622009569,1672,9.253220089764781
market_elo_cluster__extra_trees_accuracy,market_elo_cluster,extra_trees_accuracy,55,8.52153110047847,10.284703185664858,-4.255774285641971,13.288277511961722,8.990430622009569,1672,10.067364198319797
elo_only__extra_trees_accuracy,elo_only,extra_trees_accuracy,40,9.026315789473685,10.818754759465367,-4.815776833695966,14.14354066985646,8.990430622009569,1672,10.552815118770873
robust_elo_only__extra_trees_accuracy,robust_elo_only,extra_trees_accuracy,6,10.92523923444976,12.55916619455258,-6.837450222656124,17.577153110047846,8.990430622009569,1672,11.589312804086514
