feature,importance_mean,importance_std,signal_to_noise,selected_top100,selected_top100_plus
robust_elo_home_win_prob,0.00029310209531825394,9.261973756695688e-05,3.1645748845527,True,True
diff_starter_starter_statcast_sc_k_rate_season_to_date,0.00020597260319827894,0.00015988360627591588,1.2882659329238917,True,True
diff_box_box_box_pitch_whip_last3,0.00019858136882219268,0.00011463465178041085,1.7322979198522495,True,True
diff_team_sc_team_off_sc_pitches_seen_season_to_date,0.00019219530110219373,4.5271009713662994e-05,4.2454387988653215,True,True
diff_team_ewm_run_diff_hl30,0.00017369698579489112,6.889252184251978e-05,2.5212748952918584,True,True
home_team_sc_team_off_sc_pitches_seen_season_to_date,0.0001710770596440758,3.760358919550398e-05,4.549487517125902,True,True
robust_away_elo_pre,0.00016602803867395987,7.676728139192402e-05,2.1627448004355947,True,True
diff_box_box_box_pitch_baseOnBalls_season_to_date,0.00014956504401130165,5.2050439914774006e-05,2.8734635913970266,True,True
diff_team_pitchmix_team_pitchmix_pt_pitches_fastball_season_to_date,0.0001481828413977926,6.573101912004078e-05,2.254382228992598,True,True
home_team_team_run_diff_season_to_date,0.00013894043925253286,2.6393586658256696e-05,5.2641742500376765,True,True
diff_team_sc_team_off_sc_xwoba_contact_season_to_date,0.0001337017792223838,8.010255458799357e-05,1.6691325252993132,True,True
diff_box_box_box_pitch_obp_season_to_date,0.00012780733684112367,4.286504928370839e-05,2.981621133693624,True,True
diff_box_box_box_pitch_hits_season_to_date,0.0001267608259185149,3.7613886153958156e-05,3.3700539582554065,True,True
elo_home_win_prob,0.00012551385698980066,7.535816184732317e-05,1.665564205826752,True,True
diff_box_box_box_pitch_era_last10,0.0001216383014256972,3.864635048017655e-05,3.1474718806395696,True,True
robust_diff_elo_home_adv,0.00012105941700069067,7.40265457698642e-05,1.63535142348859,True,True
diff_starter_starter_statcast_sc_k_rate_last20,0.00012104975117487316,6.876984877382407e-05,1.7602154626367077,True,True
diff_starter_box_rolling10_ip,0.00011971960136185622,6.0313501667127426e-05,1.98495524306636,True,True
diff_team_ewm_run_diff_hl15,0.00011729057911847862,3.811259452239753e-05,3.0774755848634436,True,True
diff_starter_starter_statcast_sc_pitches_last10,0.00011667366792348366,5.543172058365569e-05,2.1048177234080923,True,True
away_box_box_runs_against_season_to_date,0.00011587131178729671,6.133972283425014e-05,1.8890093797847725,True,True
home_team_pitchmix_team_pitchmix_pt_pitches_fastball_season_to_date,0.00011338485350268491,3.439178175641133e-05,3.296858950366759,True,True
diff_box_box_box_pitch_runs_season_to_date,0.00011246132568745181,6.450099154824215e-05,1.7435596413016186,True,True
diff_elo_pre,0.00011181927566958905,6.993785878253465e-05,1.5988375626036941,True,True
away_team_team_win_season_to_date,0.00011049165545609085,3.769106646694198e-05,2.9315078031289112,True,True
diff_starter_starter_statcast_sc_whiff_rate_season_to_date,0.00010816534437810832,3.3609680160146564e-05,3.218279491584327,True,True
diff_box_box_box_pitch_era_season_to_date,0.00010663663663686984,5.3816222076850806e-05,1.9814961459871758,True,True
home_box_box_runs_against_season_to_date,9.923351761352839e-05,3.047408645575869e-05,3.2563246073870813,True,True
home_box_box_box_pitch_whip_last10,9.528789326446185e-05,4.7322986586627497e-05,2.0135646572101233,True,True
