,passer_player_name,passer_player_name,week,week,home_team,home_team,away_team,away_team,status,probability_over
23,J.Goff,J.Goff,10,10,WAS,WAS,DET,DET,Over,0.7016480496282034
14,T.Taylor,T.Taylor,10,10,NYJ,NYJ,CLE,CLE,Over,0.6040915285694699
8,C.Stroud,C.Stroud,10,10,HOU,HOU,JAX,JAX,Over,0.5760735425779933
22,M.Mariota,M.Mariota,10,10,WAS,WAS,DET,DET,Over,0.5353113554978733
5,T.Shough,T.Shough,10,10,CAR,CAR,NO,NO,Over,0.5046153390959744
15,D.Gabriel,D.Gabriel,10,10,NYJ,NYJ,CLE,CLE,Under,0.4861985614291967
17,D.Maye,D.Maye,10,10,TB,TB,NE,NE,Under,0.4817621959371035
20,B.Purdy,B.Purdy,10,10,SF,SF,LA,LA,Under,0.48128735788068505
19,J.Brissett,J.Brissett,10,10,SEA,SEA,ARI,ARI,Under,0.4337246256987914
2,D.Jones,D.Jones,10,10,IND,IND,ATL,ATL,Under,0.4038499371295088
