,passer_player_name,passer_player_name,week,week,home_team,home_team,away_team,away_team,status,probability_over
26,J.Love,J.Love,10,10,GB,GB,PHI,PHI,Under,0.16784910795570218
24,J.Herbert,J.Herbert,10,10,LAC,LAC,PIT,PIT,Under,0.18122881860253975
16,B.Mayfield,B.Mayfield,10,10,TB,TB,NE,NE,Under,0.20393468789664443
21,M.Stafford,M.Stafford,10,10,SF,SF,LA,LA,Under,0.23682183570195087
9,T.Lawrence,T.Lawrence,10,10,HOU,HOU,JAX,JAX,Under,0.24184375450064813
3,M.Penix,M.Penix,10,10,IND,IND,ATL,ATL,Under,0.2622206123480101
0,B.Nix,B.Nix,10,10,DEN,DEN,LV,LV,Under,0.26524681568431574
25,A.Rodgers,A.Rodgers,10,10,LAC,LAC,PIT,PIT,Under,0.2737451643715796
4,B.Young,B.Young,10,10,CAR,CAR,NO,NO,Under,0.28247812704332115
1,G.Smith,G.Smith,10,10,DEN,DEN,LV,LV,Under,0.3119112831171421
