"game_id","season","game_type","week","gameday","weekday","gametime","away_team","away_score","home_team","home_score","location","result","total","overtime","old_game_id","gsis","nfl_detail_id","pfr","pff","espn","ftn","away_rest","home_rest","away_moneyline","home_moneyline","spread_line","away_spread_odds","home_spread_odds","total_line","under_odds","over_odds","div_game","roof","surface","temp","wind","away_qb_id","home_qb_id","away_qb_name","home_qb_name","away_coach","home_coach","referee","stadium_id","stadium"
"2025_01_DAL_PHI",2025,"REG",1,"2025-09-04","Thursday","20:20","DAL",20,"PHI",24,"Home",4,44,0,"2025090400",59843,NA,"202509040phi",28418,"401772510",6734,7,7,330,-425,8.5,-110,-110,47.5,-110,-110,1,"outdoors","grass",75,11,"00-0033077","00-0036389","Dak Prescott","Jalen Hurts","Brian Schottenheimer","Nick Sirianni","Shawn Smith","PHI00","Lincoln Financial Field"
"2025_01_KC_LAC",2025,"REG",1,"2025-09-05","Friday","20:00","KC",21,"LAC",27,"Neutral",6,48,0,"2025090500",59844,NA,"202509050sdg",28419,"401772714",6735,7,7,-175,145,-3,-120,100,47.5,-110,-110,1,"dome","",NA,NA,"00-0033873","00-0036355","Patrick Mahomes","Justin Herbert","Andy Reid","Jim Harbaugh","Carl Cheffers","LAX01","SoFi Stadium"
"2025_01_TB_ATL",2025,"REG",1,"2025-09-07","Sunday","13:00","TB",23,"ATL",20,"Home",-3,43,0,"2025090700",59845,NA,"202509070atl",28420,"401772830",6736,7,7,-115,-105,-1.5,-102,-118,47.5,-105,-115,1,"closed","fieldturf",NA,NA,"00-0034855","00-0039917","Baker Mayfield","Michael Penix","Todd Bowles","Raheem Morris","Land Clark","ATL97","Mercedes-Benz Stadium"
"2025_01_CIN_CLE",2025,"REG",1,"2025-09-07","Sunday","13:00","CIN",17,"CLE",16,"Home",-1,33,0,"2025090701",59846,NA,"202509070cle",28421,"401772829",6737,7,7,-238,195,-5.5,-105,-115,47.5,100,-120,1,"outdoors","grass",63,10,"00-0036442","00-0026158","Joe Burrow","Joe Flacco","Zac Taylor","Kevin Stefanski","Adrian Hill","CLE00","FirstEnergy Stadium"
"2025_01_MIA_IND",2025,"REG",1,"2025-09-07","Sunday","13:00","MIA",8,"IND",33,"Home",25,41,0,"2025090702",59847,NA,"202509070clt",28422,"401772719",6738,7,7,-108,-112,1.5,-118,-102,47.5,-120,100,0,"closed","fieldturf",NA,NA,"00-0036212","00-0035710","Tua Tagovailoa","Daniel Jones","Mike McDaniel","Shane Steichen","Brad Allen","IND00","Lucas Oil Stadium"
"2025_01_CAR_JAX",2025,"REG",1,"2025-09-07","Sunday","13:00","CAR",10,"JAX",26,"Home",16,36,0,"2025090703",59848,NA,"202509070jax",28423,"401772828",6739,7,7,170,-205,4.5,-110,-110,45.5,-108,-112,0,"outdoors","grass",85,3,"00-0039150","00-0036971","Bryce Young","Trevor Lawrence","Dave Canales","Liam Coen","Alex Moore","JAX00","TIAA Bank Stadium"
"2025_01_LV_NE",2025,"REG",1,"2025-09-07","Sunday","13:00","LV",20,"NE",13,"Home",-7,33,0,"2025090704",59849,NA,"202509070nwe",28424,"401772720",6740,7,7,130,-155,2.5,100,-120,44.5,-115,-105,0,"outdoors","fieldturf",62,4,"00-0030565","00-0039851","Geno Smith","Drake Maye","Pete Carroll","Mike Vrabel","Ron Torbert","BOS00","Gillette Stadium"
"2025_01_ARI_NO",2025,"REG",1,"2025-09-07","Sunday","13:00","ARI",20,"NO",13,"Home",-7,33,0,"2025090705",59850,NA,"202509070nor",28425,"401772718",6741,7,7,-270,220,-6,-108,-112,44.5,-112,-108,0,"dome","sportturf",NA,NA,"00-0035228","00-0039376","Kyler Murray","Spencer Rattler","Jonathan Gannon","Kellen Moore","Scott Novak","NOR00","Mercedes-Benz Superdome"
"2025_01_PIT_NYJ",2025,"REG",1,"2025-09-07","Sunday","13:00","PIT",34,"NYJ",32,"Home",-2,66,0,"2025090706",59851,NA,"202509070nyj",28426,"401772721",6742,7,7,-155,130,-3,-110,-110,37.5,-108,-112,0,"outdoors","fieldturf",67,3,"00-0023459","00-0036945","Aaron Rodgers","Justin Fields","Mike Tomlin","Aaron Glenn","Bill Vinovich","NYC01","MetLife Stadium"
"2025_01_NYG_WAS",2025,"REG",1,"2025-09-07","Sunday","13:00","NYG",6,"WAS",21,"Home",15,27,0,"2025090707",59852,NA,"202509070was",28427,"401772827",6743,7,7,240,-298,6,-108,-112,45.5,-110,-110,1,"outdoors","grass",68,5,"00-0029263","00-0039910","Russell Wilson","Jayden Daniels","Brian Daboll","Dan Quinn","Clay Martin","WAS00","FedExField"
