,passer_player_name,passer_player_name,week,week,home_team,home_team,away_team,away_team,status,probability_over
6,C.Williams,C.Williams,10,10,CHI,CHI,NYG,NYG,Over,0.7265185185185186
11,J.Allen,J.Allen,10,10,MIA,MIA,BUF,BUF,Over,0.6695245310245311
21,M.Stafford,M.Stafford,10,10,SF,SF,LA,LA,Over,0.6503419913419912
5,T.Shough,T.Shough,10,10,CAR,CAR,NO,NO,Over,0.6146948759301705
23,J.Goff,J.Goff,10,10,WAS,WAS,DET,DET,Over,0.5926515151515154
17,D.Maye,D.Maye,10,10,TB,TB,NE,NE,Over,0.5798928571428573
14,T.Taylor,T.Taylor,10,10,NYJ,NYJ,CLE,CLE,Over,0.5471084656084655
8,C.Stroud,C.Stroud,10,10,HOU,HOU,JAX,JAX,Over,0.5336465353818296
3,M.Penix,M.Penix,10,10,IND,IND,ATL,ATL,Over,0.5083561313414255
10,T.Tagovailoa,T.Tagovailoa,10,10,MIA,MIA,BUF,BUF,Under,0.4879292929292931
