,passer_player_name,passer_player_name,week,week,home_team,home_team,away_team,away_team,status,probability_over
25,A.Rodgers,A.Rodgers,10,10,LAC,LAC,PIT,PIT,Under,0.1419206349206349
24,J.Herbert,J.Herbert,10,10,LAC,LAC,PIT,PIT,Under,0.1973677248677249
2,D.Jones,D.Jones,10,10,IND,IND,ATL,ATL,Under,0.22937301587301587
0,B.Nix,B.Nix,10,10,DEN,DEN,LV,LV,Under,0.2355476190476191
13,L.Jackson,L.Jackson,10,10,MIN,MIN,BAL,BAL,Under,0.24095634920634917
18,S.Darnold,S.Darnold,10,10,SEA,SEA,ARI,ARI,Under,0.24765873015873016
26,J.Love,J.Love,10,10,GB,GB,PHI,PHI,Under,0.2656309523809523
20,B.Purdy,B.Purdy,10,10,SF,SF,LA,LA,Under,0.2669603174603174
9,T.Lawrence,T.Lawrence,10,10,HOU,HOU,JAX,JAX,Under,0.30045004668534087
16,B.Mayfield,B.Mayfield,10,10,TB,TB,NE,NE,Under,0.30257539682539675
