defteam,Composite_Score
DEN,0.07693933326553874
KC,0.04879852636866411
GB,0.04521108783087352
MIN,0.043204431984064574
IND,0.034674966768670774
NYG,0.03452859564198722
PHI,0.027698341151289996
PIT,0.02664685135581585
TEN,0.02290015637749932
ARI,0.017787577833169414
BUF,0.014114708319311723
LA,0.010532539728542623
BAL,0.008000475488482803
SEA,0.007142714758620064
NYJ,0.006526166496384565
HOU,0.005781640172453591
LAC,0.005325294253137194
LV,0.004590270997114037
TB,0.0020959418378531814
DAL,0.0004017916765848619
SF,-0.0023544319030474933
CLE,-0.010851154436549442
MIA,-0.01888679248799927
WAS,-0.022075240396392273
NO,-0.030228506201701224
ATL,-0.03262295348643227
DET,-0.037919085507865276
JAX,-0.04416853551532924
NE,-0.044441644870338644
CAR,-0.05938372899102259
CIN,-0.059964604798245
CHI,-0.08000473371113492
