defteam,Composite_Score
SEA,0.07131984299123377
CIN,0.0644064141998484
NYJ,0.058355558266731056
KC,0.05668499902000554
LAC,0.05384717826322643
TEN,0.05323633003579819
PIT,0.0503391868026219
BUF,0.038749869644956664
MIA,0.03551060700799118
MIN,0.03341943722137636
WAS,0.03243556735208221
TB,0.030432073986563675
DEN,0.026770001374715448
IND,0.0062527266434011745
LV,0.002173108223370309
CLE,0.000926075109696672
GB,-0.008543818522567876
ATL,-0.009352422072123747
NE,-0.009935157010583217
CHI,-0.011917137889124322
CAR,-0.01571725876549247
HOU,-0.01751512307395615
LA,-0.01911228521190367
DAL,-0.02218978710694891
NO,-0.029698475258732322
NYG,-0.03894515217477916
ARI,-0.04262777376360663
PHI,-0.04974359520167728
BAL,-0.062415501724235545
DET,-0.06315208939589
SF,-0.09844113047899371
JAX,-0.11555226849300307
