,home_flag_passer,completion_percentage_ewma_passer,pass_attempts_ewma_passer,air_yards_ewma_passer,yards_after_catch_ewma_passer,epa_ewma_passer,interception_ewma_passer,qb_hit_ewma_passer,sack_ewma_passer,pass_touchdown_ewma_passer,passing_yards_ewma_passer,cpoe_ewma_passer,total_top_seconds_ewma,home_flag_defense,completion_percentage_ewma_defense,pass_attempts_ewma_defense,air_yards_ewma_defense,yards_after_catch_ewma_defense,epa_ewma_defense,interception_ewma_defense,qb_hit_ewma_defense,sack_ewma_defense,pass_touchdown_ewma_defense,passing_yards_ewma_defense,cpoe_ewma_defense,odds,passer_player_name_A.Rodgers,passer_player_name_B.Mayfield,passer_player_name_B.Nix,passer_player_name_B.Purdy,passer_player_name_B.Young,passer_player_name_C.Oladokun,passer_player_name_C.Stroud,passer_player_name_C.Ward,passer_player_name_C.Wentz,passer_player_name_C.Williams,passer_player_name_D.Gabriel,passer_player_name_D.Jones,passer_player_name_D.Maye,passer_player_name_D.Mills,passer_player_name_D.Prescott,passer_player_name_G.Smith,passer_player_name_J.Allen,passer_player_name_J.Brissett,passer_player_name_J.Burrow,passer_player_name_J.Dart,passer_player_name_J.Flacco,passer_player_name_J.Goff,passer_player_name_J.Herbert,passer_player_name_J.Hurts,passer_player_name_J.Love,passer_player_name_J.McCarthy,passer_player_name_K.Cousins,passer_player_name_L.Jackson,passer_player_name_M.Brosmer,passer_player_name_M.Mariota,passer_player_name_M.Penix,passer_player_name_M.Stafford,passer_player_name_P.Mahomes,passer_player_name_Q.Ewers,passer_player_name_R.Leonard,passer_player_name_S.Darnold,passer_player_name_S.Rattler,passer_player_name_S.Sanders,passer_player_name_T.Lawrence,passer_player_name_T.Shough,passer_player_name_T.Tagovailoa,passer_player_name_T.Taylor,posteam_ATL,posteam_BAL,posteam_BUF,posteam_CAR,posteam_CHI,posteam_CIN,posteam_CLE,posteam_DAL,posteam_DEN,posteam_DET,posteam_GB,posteam_HOU,posteam_IND,posteam_JAX,posteam_KC,posteam_LA,posteam_LAC,posteam_LV,posteam_MIA,posteam_MIN,posteam_NE,posteam_NO,posteam_NYG,posteam_NYJ,posteam_PHI,posteam_PIT,posteam_SEA,posteam_SF,posteam_TB,posteam_TEN,posteam_WAS,defteam_ATL,defteam_BAL,defteam_BUF,defteam_CAR,defteam_CHI,defteam_CIN,defteam_CLE,defteam_DAL,defteam_DEN,defteam_DET,defteam_GB,defteam_HOU,defteam_IND,defteam_JAX,defteam_KC,defteam_LA,defteam_LAC,defteam_LV,defteam_MIA,defteam_MIN,defteam_NE,defteam_NO,defteam_NYG,defteam_NYJ,defteam_PHI,defteam_PIT,defteam_SEA,defteam_SF,defteam_TB,defteam_TEN,defteam_WAS,roof_dome,roof_outdoors,surface_astroturf,surface_fieldturf,surface_grass,surface_matrixturf,surface_sportturf
170,False,0.7690669581896231,28.928668065332054,198.6456343993255,110.439089429619,8.370035733733186,0.320817238877669,5.411266445755966,3.3303072488774736,1.2972098586302225,250.63773259347855,12.769072709631724,1099.4775004411676,True,0.6911841698058356,30.809474211174425,256.6780524336375,111.55664375721871,1.0300920792816344,0.7000682981325518,4.683451307130948,2.098123041682687,1.9002927966785434,225.2609870767263,1.9490916132250335,-115.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
173,True,0.7872574308780461,26.030277185227252,226.93080853104652,90.40331173222029,9.559388825680108,0.3667581915959731,5.522591134219545,3.7074341249331053,2.0747495682734955,254.02030148939807,16.052266504295922,1204.323890539936,False,0.6763608423447962,27.305921499823242,212.63382248516785,90.21221075315725,0.7523879446999743,0.8057085064620546,4.185681165817739,2.167802018072746,1.8996932555237331,186.75925492371627,-0.7800780565096453,-115.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
85,False,0.6498512029647827,18.750000000000004,97.6,50.199999999999996,-7.21132299900055,0.0,4.6499999999999995,2.35,0.55,86.25,-1.7365581810474393,639.1999999999999,True,0.726616174596266,29.11681492570937,214.24022951242986,98.08338442315234,4.75282001357858,0.35175065722815846,4.430779494403382,1.635858481819059,1.2881309553401992,208.24510195812582,4.834222039160952,-115.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
37,False,0.5928257488354517,30.17957034706117,258.8553561625271,96.60976194380858,-3.200709326481097,0.7238992240898248,3.2598395691304844,2.258794499887919,1.4198585179250245,196.9796621861428,-6.396385815735124,1154.2405611639872,True,0.6985997099007657,29.82433718666319,244.24966115221068,108.6186516686463,4.062776268561481,0.922669623300487,3.2924387187716553,2.072289730138127,1.2329202074072276,237.52650747487,2.3470720953964403,-118.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
115,False,0.627063994521343,35.0459906069636,245.06185868310263,95.46385801261552,-9.063271814560188,0.3447157232169142,6.625389786844559,3.7520679378061317,0.5796335903283798,198.6899251618423,-2.819710716104789,1190.160000478873,True,0.639714781588762,28.270607378232746,238.27128845969537,96.65932514737192,-4.896482953465417,0.7114487655051431,7.72976209952298,3.9338526372546507,1.2539943726670513,199.61493613978942,1.436126168894898,-115.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
367,True,0.5991448762520426,25.18074541173435,248.44838564009936,59.232677482824236,-12.853309602144975,1.7625100796697095,8.290650904751153,3.167893429668096,0.8613618036964161,149.9448875915234,-7.974446192677686,796.0972921975292,False,0.7123889309879606,31.0303135721451,203.28657184084986,152.38016208043686,9.697017941133279,0.6035923379334914,4.241643311185344,1.7906964677651434,1.810398297659556,272.1694776956108,4.745032005504607,-115.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True
273,True,0.6553159144923744,27.864256547813074,237.8954802741382,89.55863238196287,0.21675603377679195,0.238446506074058,5.33958445214864,2.6769899463062052,1.2383055003217518,194.90882134694934,1.7221442584936846,1033.8582797391616,False,0.7093458866029815,29.570256559027808,194.14355877887718,139.22013261126654,9.617760620271156,0.4938482764910384,4.561344527333463,2.192388019080572,2.02668951626691,252.32048175095426,3.9084719579294362,-115.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False
510,True,0.5415640520762235,28.53771494676575,236.6778298464736,118.09460598811788,-9.480455575551508,1.3819729024921081,10.092978569047666,2.8961588988451203,1.054038156114586,203.84894413835022,-7.804771530246272,792.3113468363365,False,0.6220120669770519,26.8909032042039,236.26239812506668,82.64808868023358,-2.101639690067493,0.9956104342510251,4.737674140829317,1.8565181230906955,1.251526843116538,188.94829695752898,-2.9943729027167176,-115.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
415,True,0.6433762353614415,20.77326732673267,177.39356435643563,70.77797029702971,-3.8544648286729766,1.1490099009900991,4.04009900990099,1.8195544554455443,0.9509900990099012,158.9131188118812,-0.8317234140221438,1070.705693069307,False,0.634375450993876,33.19183263020573,308.66258650164343,99.6397052698824,-4.656485122986008,0.9522991172523216,6.660651308118786,3.306672540634124,1.8697399352164745,227.03842646629568,-0.687383479828427,-118.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
244,False,0.6438941121867597,41.262156710892235,323.0503996503572,136.36372129614483,-0.45475126500942803,0.6872967156329569,9.268572432526106,3.2672930855587348,1.766976185086939,293.8415701312405,-0.6846283977344234,1340.344834114094,True,0.5868536803788135,29.791971393815686,248.58933782417373,87.39310804405547,-8.672082333841004,1.3326535396331454,6.26479677755953,2.9323148491644146,0.9228472505374886,193.62737601812657,-7.635656800992923,-115.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
