,home_flag_passer,completion_percentage_ewma_passer,pass_attempts_ewma_passer,air_yards_ewma_passer,yards_after_catch_ewma_passer,epa_ewma_passer,interception_ewma_passer,qb_hit_ewma_passer,sack_ewma_passer,passing_yards_ewma_passer,cpoe_ewma_passer,total_top_seconds_ewma,home_flag_defense,completion_percentage_ewma_defense,pass_attempts_ewma_defense,air_yards_ewma_defense,yards_after_catch_ewma_defense,epa_ewma_defense,interception_ewma_defense,qb_hit_ewma_defense,sack_ewma_defense,passing_yards_ewma_defense,cpoe_ewma_defense,roof_dome,roof_outdoors,surface_astroturf,surface_fieldturf,surface_grass,surface_matrixturf,surface_sportturf
3,True,0.6892857193946837,6.55,79.55,17.95,2.968189978599548,0.0,0.55,0.55,59.1,11.473047506809234,1373.2500000000002,False,0.6680205320831496,28.6499020904235,204.82310842484554,97.94769813726089,0.863481323232473,0.40129422628900724,4.704105044213458,2.4057048950521547,208.98907498482404,2.0056978295997556,0,1,0,0,1,0,0
4,True,0.6892857193946837,6.55,79.55,17.95,2.968189978599548,0.0,0.55,0.55,59.1,11.473047506809234,1373.2500000000002,False,0.6680205320831496,28.6499020904235,204.82310842484554,97.94769813726089,0.863481323232473,0.40129422628900724,4.704105044213458,2.4057048950521547,208.98907498482404,2.0056978295997556,0,1,0,0,1,0,0
8,True,0.6806773194838996,27.11295681063123,145.39534883720933,132.98338870431894,0.29572703751218626,1.0598006644518274,5.39202657807309,2.06312292358804,188.30564784053155,1.4158485545668489,1072.6777408637874,False,0.6910624293916475,30.02607824507286,216.07698948723706,94.85223423459188,-7.8928752185460205,0.9126815806604719,5.841144579879856,2.6659138412352945,204.7390619123741,-0.7777536960545771,0,1,0,0,1,0,0
9,True,0.6806773194838996,27.11295681063123,145.39534883720933,132.98338870431894,0.29572703751218626,1.0598006644518274,5.39202657807309,2.06312292358804,188.30564784053155,1.4158485545668489,1072.6777408637874,False,0.6910624293916475,30.02607824507286,216.07698948723706,94.85223423459188,-7.8928752185460205,0.9126815806604719,5.841144579879856,2.6659138412352945,204.7390619123741,-0.7777536960545771,0,1,0,0,1,0,0
10,True,0.7259789235816144,25.428465346534654,121.54430693069308,137.27178217821782,1.4501408578735766,0.7106435643564357,4.6039603960396045,2.0423267326732675,192.15841584158414,4.10914285867521,1030.2841584158416,False,0.6725117388029105,28.92149044944337,236.8598898726744,102.11545504297372,3.8110990175658217,0.3543501434229714,5.3469641602785405,2.4510861414703573,211.0930224950568,3.25768838126079,0,1,0,0,1,0,0
11,True,0.7259789235816144,25.428465346534654,121.54430693069308,137.27178217821782,1.4501408578735766,0.7106435643564357,4.6039603960396045,2.0423267326732675,192.15841584158414,4.10914285867521,1030.2841584158416,False,0.6725117388029105,28.92149044944337,236.8598898726744,102.11545504297372,3.8110990175658217,0.3543501434229714,5.3469641602785405,2.4510861414703573,211.0930224950568,3.25768838126079,0,1,0,0,1,0,0
13,True,0.7185805367739228,28.10681708221785,191.79338289842923,137.63929135890075,6.262809950390721,0.8945150469309421,3.5867641841112157,1.0778489178466601,216.0264071218914,5.175506684864943,1101.482516208109,False,0.6906462862497943,36.34899117264912,259.72266683574344,103.10286581497223,1.772784841828417,0.393971024702109,7.0101097989045975,2.8747836724789155,231.50575367965567,3.8949037396824306,0,1,0,0,1,0,0
14,True,0.7185805367739228,28.10681708221785,191.79338289842923,137.63929135890075,6.262809950390721,0.8945150469309421,3.5867641841112157,1.0778489178466601,216.0264071218914,5.175506684864943,1101.482516208109,False,0.6906462862497943,36.34899117264912,259.72266683574344,103.10286581497223,1.772784841828417,0.393971024702109,7.0101097989045975,2.8747836724789155,231.50575367965567,3.8949037396824306,0,1,0,0,1,0,0
15,True,0.7060713842958317,30.00875708861998,203.40924111352666,125.67821619969585,2.86097568192746,0.678972854154207,3.927297244692369,1.5410101139796641,216.7429235534169,5.1241279150190735,1091.245936365673,False,0.6792225614285576,37.69281837821043,301.1011022533936,122.43411040745741,0.048048472955281564,1.2455892193723315,7.490791833511274,2.8282867061127552,282.55496212638184,0.1960586531533422,0,1,0,0,1,0,0
16,True,0.7060713842958317,30.00875708861998,203.40924111352666,125.67821619969585,2.86097568192746,0.678972854154207,3.927297244692369,1.5410101139796641,216.7429235534169,5.1241279150190735,1091.245936365673,False,0.6792225614285576,37.69281837821043,301.1011022533936,122.43411040745741,0.048048472955281564,1.2455892193723315,7.490791833511274,2.8282867061127552,282.55496212638184,0.1960586531533422,0,1,0,0,1,0,0
