,home_flag_passer,completion_percentage_ewma_passer,pass_attempts_ewma_passer,air_yards_ewma_passer,yards_after_catch_ewma_passer,epa_ewma_passer,interception_ewma_passer,qb_hit_ewma_passer,sack_ewma_passer,pass_touchdown_ewma_passer,passing_yards_ewma_passer,cpoe_ewma_passer,total_top_seconds_ewma,home_flag_defense,completion_percentage_ewma_defense,pass_attempts_ewma_defense,air_yards_ewma_defense,yards_after_catch_ewma_defense,epa_ewma_defense,interception_ewma_defense,qb_hit_ewma_defense,sack_ewma_defense,pass_touchdown_ewma_defense,passing_yards_ewma_defense,cpoe_ewma_defense,odds,passer_player_name_A.Rodgers,passer_player_name_B.Mayfield,passer_player_name_B.Nix,passer_player_name_B.Young,passer_player_name_C.Stroud,passer_player_name_C.Ward,passer_player_name_C.Wentz,passer_player_name_C.Williams,passer_player_name_D.Gabriel,passer_player_name_D.Jones,passer_player_name_D.Maye,passer_player_name_D.Mills,passer_player_name_D.Prescott,passer_player_name_G.Smith,passer_player_name_J.Allen,passer_player_name_J.Brissett,passer_player_name_J.Daniels,passer_player_name_J.Dart,passer_player_name_J.Fields,passer_player_name_J.Flacco,passer_player_name_J.Goff,passer_player_name_J.Herbert,passer_player_name_J.Hurts,passer_player_name_J.Love,passer_player_name_J.McCarthy,passer_player_name_K.Murray,passer_player_name_L.Jackson,passer_player_name_M.Mariota,passer_player_name_M.Penix,passer_player_name_M.Stafford,passer_player_name_P.Mahomes,passer_player_name_S.Darnold,passer_player_name_S.Rattler,passer_player_name_T.Lawrence,passer_player_name_T.Shough,passer_player_name_T.Tagovailoa,posteam_ATL,posteam_BAL,posteam_BUF,posteam_CAR,posteam_CHI,posteam_CIN,posteam_CLE,posteam_DAL,posteam_DEN,posteam_DET,posteam_GB,posteam_HOU,posteam_IND,posteam_JAX,posteam_KC,posteam_LA,posteam_LAC,posteam_LV,posteam_MIA,posteam_MIN,posteam_NE,posteam_NO,posteam_NYG,posteam_NYJ,posteam_PHI,posteam_PIT,posteam_SEA,posteam_TB,posteam_TEN,posteam_WAS,defteam_ATL,defteam_BAL,defteam_BUF,defteam_CAR,defteam_CHI,defteam_CIN,defteam_CLE,defteam_DAL,defteam_DEN,defteam_DET,defteam_GB,defteam_HOU,defteam_IND,defteam_JAX,defteam_KC,defteam_LA,defteam_LAC,defteam_LV,defteam_MIA,defteam_MIN,defteam_NE,defteam_NO,defteam_NYG,defteam_NYJ,defteam_PHI,defteam_PIT,defteam_SEA,defteam_SF,defteam_TB,defteam_TEN,defteam_WAS,roof_dome,roof_outdoors,surface_a_turf,surface_astroturf,surface_fieldturf,surface_grass,surface_matrixturf,surface_sportturf
71,False,0.6370078639966427,32.119306930693064,262.4962871287129,102.67574257425743,2.995915210837185,0.55,2.3519801980198016,1.5725247524752477,2.029207920792079,233.71806930693072,-5.206290906077565,1175.1086633663367,True,0.6855735520064893,29.806752409578348,251.69520470133705,114.69715891304935,2.7579317642860266,0.648773409068663,5.316029546935185,2.8025944296179524,1.4917719944663395,247.92666204507148,4.8474335830185105,-115.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
161,True,0.6242243971603899,40.962411702093355,300.602006257459,112.82757313808341,-2.745116693228824,0.7968583685449793,6.872355901041834,1.9613618036964164,1.415848466277457,238.34144115085635,-1.8483776627108155,1267.254623746089,False,0.6381637168874073,29.98150485790722,201.0699693526966,118.35275811956856,4.1113782923939795,0.18284287033429986,3.821613746886314,1.4917840782481748,1.6659649349668615,208.07004297540766,0.042720842089007775,-115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
265,False,0.6357460334872942,36.26282412176696,317.4220625552792,98.72019194667793,-2.7787961233909906,0.6278603923971304,6.017140826430536,3.2054584683305616,0.9778735263159373,236.6710380162156,-3.5443453717840607,1379.2780996982349,True,0.5943560893307632,30.358325880970213,295.6775126745756,90.02986407226501,-6.06953518253344,1.2608712291733593,5.06033609075073,2.01849715952477,1.2116966002186846,195.41822105531512,-6.378019166228684,-115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,False,0.46689197688403716,18.920265780730897,176.18272425249168,31.72093023255814,-5.392314015036802,0.7308970099667775,1.790697674418605,1.0598006644518274,0.4019933554817276,112.85049833887044,-19.736944162172335,912.468438538206,True,0.6664693046490067,30.92843787785222,252.2272041562883,102.46805991442962,4.804415644984663,0.7091545242454016,3.974234078424592,1.9166172725782888,1.2789214436000846,227.05413394528748,1.61201666801798,-115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45,True,0.7171078242301225,26.81027803760926,265.4937957617005,92.21073444505372,11.224771325514324,0.44529722930039034,3.391702415895236,1.1093684482146888,2.0606860626390997,270.79781472760703,11.667228361707663,918.386478727865,False,0.626794395814945,28.390852877326953,244.58541751695483,98.67455292206412,-5.841289952306401,1.254073533648479,5.1705176087643645,2.3657334970198467,0.7829467419630577,199.60994818192657,-6.626330064195733,-115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
98,False,0.7690669581896231,28.928668065332054,198.6456343993255,110.439089429619,8.370035733733186,0.320817238877669,5.411266445755966,3.3303072488774736,1.2972098586302225,250.63773259347855,12.769072709631724,1099.4775004411676,True,0.6911841698057508,30.80947421117961,256.67805243381895,111.55664375721871,1.0300920792773531,0.7000682981325518,4.683451307131261,2.098123041682999,1.9002927966785434,225.2609870767263,1.949091613220356,-115.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
255,False,0.3224138021469116,16.85,147.4,21.45,-9.080221688747407,0.55,1.6500000000000001,1.1,0.0,70.4,-31.075633764266964,1277.8,True,0.6440348464180412,36.563994567082624,306.26915755646894,100.63775602752195,-5.60907219945846,0.5490659813665234,7.91098802719059,4.014405565993953,1.1670829828600524,237.78198237439275,-1.7089542041610113,-115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
185,True,0.717843404777863,28.20934560066572,272.31035536644555,85.69862709992697,3.5391622983673185,0.19714895102774027,3.897763374034171,3.22699960188251,1.8305277634243602,240.98174249782485,7.718643413757038,923.7252775771173,False,0.6585226315121119,37.24692409359563,300.66665007221496,110.64817735634162,1.1986515832250897,0.5506706186431781,5.031918933044259,1.9882311716817342,1.3958732457314134,258.7336121967473,-0.46116373984799963,-115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
32,True,0.6075180499735389,35.44131408443251,312.8373021221557,114.46219774945288,2.9769524703553145,0.6161231769689623,3.4732257210423434,0.9972281387465972,2.083799782024019,221.24981195768342,-2.431831560109544,1106.591521400373,False,0.6986536418812672,32.98704222300138,248.27173216843224,109.79452032349917,3.4956626740903904,0.569468723864999,3.9234821248767333,1.9762836671599748,1.403360273786848,239.4344186379047,1.2817527513689952,-115.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
67,False,0.6925280007838023,35.435396039603965,309.12821782178224,118.16039603960395,4.0162272976176565,1.1,7.033168316831683,3.332178217821782,1.0715346534653465,275.1420792079208,3.511725590562466,1215.317326732673,True,0.6619915387234269,30.337286970522836,254.02426932561684,111.00429001813066,1.5217633367576733,0.8379460319470841,4.830333705691378,2.2472663028471183,1.2579253642767145,219.4122965779546,-0.7936836745105765,-115.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
