season,game_type,week,gameday,weekday,gametime,away_team,home_team,home_coach,away_coach,away_qb_id,home_qb_id,away_qb_name,home_qb_name,surface,away_rest,home_rest
2025,REG,1,2025-09-04,Thursday,20:20,DAL,PHI,Nick Sirianni,Brian Schottenheimer,00-0033077,00-0036389,Dak Prescott,Jalen Hurts,grass,7,7
2025,REG,1,2025-09-05,Friday,20:00,KC,LAC,Jim Harbaugh,Andy Reid,00-0033873,00-0036355,Patrick Mahomes,Justin Herbert,matrixturf,7,7
2025,REG,1,2025-09-07,Sunday,13:00,TB,ATL,Raheem Morris,Todd Bowles,00-0034855,00-0039917,Baker Mayfield,Michael Penix,fieldturf,7,7
2025,REG,1,2025-09-07,Sunday,13:00,CIN,CLE,Kevin Stefanski,Zac Taylor,00-0036442,00-0026158,Joe Burrow,Joe Flacco,grass,7,7
2025,REG,1,2025-09-07,Sunday,13:00,MIA,IND,Shane Steichen,Mike McDaniel,00-0036212,00-0039164,Tua Tagovailoa,Anthony Richardson,fieldturf,7,7
2025,REG,1,2025-09-07,Sunday,13:00,CAR,JAX,Liam Coen,Dave Canales,00-0039150,00-0036971,Bryce Young,Trevor Lawrence,grass,7,7
2025,REG,1,2025-09-07,Sunday,13:00,LV,NE,Mike Vrabel,Pete Carroll,00-0030565,00-0039851,Geno Smith,Drake Maye,fieldturf,7,7
2025,REG,1,2025-09-07,Sunday,13:00,ARI,NO,Kellen Moore,Jonathan Gannon,00-0035228,00-0039376,Kyler Murray,Spencer Rattler,sportturf,7,7
2025,REG,1,2025-09-07,Sunday,13:00,PIT,NYJ,Aaron Glenn,Mike Tomlin,00-0023459,00-0036945,Aaron Rodgers,Justin Fields,fieldturf,7,7
2025,REG,1,2025-09-07,Sunday,13:00,NYG,WAS,Dan Quinn,Brian Daboll,00-0029263,00-0039910,Russell Wilson,Jayden Daniels,grass,7,7
2025,REG,1,2025-09-07,Sunday,16:05,TEN,DEN,Sean Payton,Brian Callahan,00-0040676,00-0039732,Cam Ward,Bo Nix,grass,7,7
2025,REG,1,2025-09-07,Sunday,16:05,SF,SEA,Mike Macdonald,Kyle Shanahan,00-0037834,00-0034869,Brock Purdy,Sam Darnold,fieldturf,7,7
2025,REG,1,2025-09-07,Sunday,16:25,DET,GB,Matt LaFleur,Dan Campbell,00-0033106,00-0036264,Jared Goff,Jordan Love,grass,7,7
2025,REG,1,2025-09-07,Sunday,16:25,HOU,LA,Sean McVay,DeMeco Ryans,00-0039163,00-0026498,C.J. Stroud,Matthew Stafford,matrixturf,7,7
2025,REG,1,2025-09-07,Sunday,20:20,BAL,BUF,Sean McDermott,John Harbaugh,00-0034796,00-0034857,Lamar Jackson,Josh Allen,a_turf,7,7
2025,REG,1,2025-09-08,Monday,20:15,MIN,CHI,Ben Johnson,Kevin O'Connell,00-0039923,00-0039918,J.J. McCarthy,Caleb Williams,grass,7,7
2025,REG,2,2025-09-11,Thursday,20:15,WAS,GB,Matt LaFleur,Dan Quinn,00-0039910,00-0036264,Jayden Daniels,Jordan Love,grass,4,4
2025,REG,2,2025-09-14,Sunday,13:00,CLE,BAL,John Harbaugh,Kevin Stefanski,00-0026158,00-0034796,Joe Flacco,Lamar Jackson,grass,7,7
2025,REG,2,2025-09-14,Sunday,13:00,JAX,CIN,Zac Taylor,Liam Coen,00-0036971,00-0036442,Trevor Lawrence,Joe Burrow,fieldturf,7,7
2025,REG,2,2025-09-14,Sunday,13:00,NYG,DAL,Brian Schottenheimer,Brian Daboll,00-0029263,00-0033077,Russell Wilson,Dak Prescott,matrixturf,7,10
2025,REG,2,2025-09-14,Sunday,13:00,CHI,DET,Dan Campbell,Ben Johnson,00-0039918,00-0033106,Caleb Williams,Jared Goff,fieldturf,6,7
2025,REG,2,2025-09-14,Sunday,13:00,NE,MIA,Mike McDaniel,Mike Vrabel,00-0039851,00-0036212,Drake Maye,Tua Tagovailoa,grass,7,7
2025,REG,2,2025-09-14,Sunday,13:00,SF,NO,Kellen Moore,Kyle Shanahan,00-0037834,00-0039376,Brock Purdy,Spencer Rattler,sportturf,7,7
