Tournament,Location,Year,Position,Player,TOPAR,R1,R2,R3,R4,Total,Winnings,Final_Date,State,Region,Last T1 Finish,Last T2 Finish,Last T3 Finish,Month,Previous_Year_Position,Days_Since_Last_Tournament
Zurich Classic of New Orleans,"TPC Louisiana - Avondale, LA",2025,26.0,A. Albertson / V. Whaley,-19,63,71,62,73,269,"$21,942",2025-04-27,,Unknown,,,,4,100.0,
Zurich Classic of New Orleans,"TPC Louisiana - Avondale, LA",2025,-1.0,A. Del Rey / A. Ayora,CUT,63,74,--,--,137,--,2025-04-27,,Unknown,,,,4,100.0,
Zurich Classic of New Orleans,"TPC Louisiana - Avondale, LA",2025,1.0,A. Novak / B. Griffin,-28,62,66,61,71,260,"$1,329,400",2025-04-27,,Unknown,,,,4,100.0,
Zurich Classic of New Orleans,"TPC Louisiana - Avondale, LA",2025,-1.0,A. Putnam / B. Hossler,CUT,64,71,--,--,135,--,2025-04-27,,Unknown,,,,4,100.0,
Zurich Classic of New Orleans,"TPC Louisiana - Avondale, LA",2025,18.0,A. Rai / S. Theegala,-21,63,69,64,71,267,"$38,755",2025-04-27,,Unknown,,,,4,100.0,
Zurich Classic of New Orleans,"TPC Louisiana - Avondale, LA",2025,32.0,A. Svensson / C. Davis,-16,61,72,61,78,272,"$19,228",2025-04-27,,Unknown,,,,4,100.0,
Zurich Classic of New Orleans,"TPC Louisiana - Avondale, LA",2025,-1.0,A. Tosti / J. Highsmith,CUT,65,70,--,--,135,--,2025-04-27,,Unknown,,,,4,100.0,
RBC Canadian Open,"TPC Toronto at Osprey Valley (North Course) - Caledon, ON",2025,,A.J. Ewart,,,,,,,,2025-06-08,ON,International,,,,6,100.0,
Sony Open in Hawaii,"Waialae Country Club - Honolulu, HI",2023,7.0,Aaron Baddeley,-13,67,70,65,65,267,"$231,865",2023-01-15,HI,West,,,,1,100.0,
The American Express,"La Quinta Country Club - La Quinta, CA",2023,50.0,Aaron Baddeley,-14,71,68,65,70,274,"$19,880",2023-01-22,CA,West,7.0,,,1,100.0,7.0
Farmers Insurance Open,"Torrey Pines (North Course) - La Jolla, CA",2023,-1.0,Aaron Baddeley,CUT,71,74,--,--,145,--,2023-01-28,CA,West,50.0,7.0,,1,100.0,6.0
AT&T Pebble Beach Pro-Am,"Spyglass Hill GC - Pebble Beach, CA",2023,37.0,Aaron Baddeley,-5,65,74,72,71,282,"$41,850",2023-02-06,CA,West,-1.0,50.0,7.0,2,100.0,9.0
